0,1,2,3,4,5,llama_7B_ga_followturn_20000/ckp5000_correct,llama_7B_ga_followturn_20000/ckp5000_choiceA_probs,llama_7B_ga_followturn_20000/ckp5000_choiceB_probs,llama_7B_ga_followturn_20000/ckp5000_choiceC_probs,llama_7B_ga_followturn_20000/ckp5000_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,True,0.19150683,0.2786408,0.459401,0.07045143
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.2850553,0.17289478,0.46997672,0.072073266
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,True,0.22604375,0.25614116,0.47853464,0.039280515
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.2033432,0.29586262,0.48779497,0.012999295
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,True,0.17432646,0.2536435,0.41818747,0.15384258
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.12643485,0.20845583,0.5666417,0.09846756
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.11789774,0.22026199,0.59873414,0.06310611
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,True,0.30909076,0.18747301,0.44972438,0.053711917
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,True,0.1401818,0.17999698,0.6282512,0.05157
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.12656161,0.18414605,0.64273286,0.046559416
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.22486766,0.25480846,0.47604483,0.04427907
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.1214599,0.22691697,0.61682427,0.034798842
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.1074098,0.20066792,0.6181007,0.073821604
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.16292238,0.2091965,0.3908305,0.23705068
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.10076254,0.21331428,0.65705425,0.028868949
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.16519122,0.27235427,0.50882477,0.053629734
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.17389409,0.19704781,0.60695,0.022108153
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,True,0.16342251,0.23777834,0.5704006,0.028398573
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,True,0.2421928,0.16645652,0.5127222,0.078628495
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.11402187,0.10062394,0.6561505,0.1292037
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.14848426,0.21604332,0.5872666,0.04820578
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.21869159,0.21869159,0.52461386,0.0380029
