0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.09735625,0.71937084,0.09735625,0.08591659
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.16792703,0.7525967,0.0617769,0.017699378
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.2773529,0.314282,0.13101223,0.2773529
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.18621325,0.5061801,0.23910254,0.06850403
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.15916519,0.52188253,0.16943045,0.14952186
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.18772437,0.5102877,0.24104284,0.060945176
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.18821873,0.6569479,0.12936072,0.025472634
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,True,0.14529744,0.5746625,0.21140653,0.06863365
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.33603844,0.5540337,0.05839472,0.051533163
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.45342955,0.3531313,0.114644945,0.07879424
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.11187462,0.7295141,0.098729,0.059882164
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.18981485,0.51597023,0.21508838,0.079126604
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.22784865,0.6193568,0.12195859,0.030835958
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.14345726,0.64293087,0.08701123,0.1266006
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.2731474,0.423059,0.2731474,0.03064629
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.1567417,0.7024675,0.12207055,0.018720124
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.0786069,0.74580157,0.11437238,0.061219122
