0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_dolly_2000_correct,llama_7B_llamatokenizer_alpacacode_dolly_2000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_dolly_2000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_dolly_2000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_dolly_2000_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.0010232991,0.021879097,0.56426936,0.4128283
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.06483262,0.29055965,0.47905186,0.1655559
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.20815632,0.12625319,0.34319174,0.3223988
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.7183632,0.08315658,0.027853964,0.17062622
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,False,0.43264213,0.40642968,0.15916015,0.0017681095
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,False,0.37460825,0.42448676,0.13781068,0.063094325
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.005194848,0.0014883488,0.98996276,0.0033540458
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.13619788,0.04421698,0.4607515,0.35883364
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.9524047,0.012762229,0.034691337,0.00014177557
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.47774675,0.18708831,0.32835025,0.0068146912
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.43293324,0.46085504,0.07067441,0.035537325
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.005231583,0.087113686,0.22245258,0.6852022
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.5240763,0.09694437,0.0803697,0.29860967
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.16347761,0.11235641,0.57059294,0.153573
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.8383494,0.103304915,0.038003754,0.020341944
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.36322293,0.09183714,0.46638745,0.07855246
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.7564479,0.084871106,0.04267587,0.11600505
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.80106753,0.025351053,0.054513328,0.11906806
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.64658976,0.32512575,0.020145118,0.0081393635
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,False,0.12180971,0.0948655,0.03714986,0.74617493
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.0694538,0.7466987,0.12975678,0.05409067
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,False,0.0043089134,0.0048826383,0.99047613,0.00033226772
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.9851586,0.01164996,0.0027671077,0.00042434974
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.017724313,0.123031124,0.8540052,0.0052392967
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.48764285,0.26101643,0.24520223,0.0061385175
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.5602797,0.0127711175,0.38507426,0.04187488
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.48739642,0.10875285,0.3795847,0.024266038
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.002168795,0.0048874547,0.9914532,0.0014905895
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.34166202,0.07161625,0.5291765,0.05754527
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.65139854,0.32754377,0.010528876,0.010528876
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.5636905,0.0013542603,0.022550456,0.41240478
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.0018648001,0.8008342,0.122811906,0.07448918
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.8139489,0.124823116,0.05538992,0.0058380547
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.38848102,0.4135359,0.12612133,0.07186177
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.0014077143,0.15285157,0.8263078,0.019432897
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.038374256,0.026374219,0.9297232,0.0055283364
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.0035487516,0.006629941,0.98397046,0.0058509023
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.98525846,0.0022942454,0.012402574,4.4730667e-05
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.01745909,0.953234,0.021059684,0.0082470905
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.111859195,0.23680592,0.6047051,0.04662985
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.0684241,0.47495738,0.27062258,0.18599598
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.11643476,0.55547917,0.09652781,0.23155816
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.16040926,0.26447016,0.4096194,0.16550119
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.52977663,0.41259044,0.055838045,0.0017949111
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.17421006,0.44486097,0.25347415,0.1274548
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.26875144,0.53447604,0.052920297,0.14385228
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.8523808,0.06572855,0.05449088,0.027399737
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,False,0.20605384,0.33972538,0.436216,0.018004784
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.7086515,0.031135974,0.15812153,0.10209093
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.8261425,0.015131328,0.12669306,0.03203302
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.013471056,0.88717604,0.060373086,0.038979795
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,False,0.03809111,0.4640447,0.493973,0.0038912515
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.23679237,0.44238636,0.20896852,0.11185279
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.79949266,0.1305136,0.061650254,0.008343455
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.119166054,0.1268516,0.50170785,0.25227454
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.7321706,0.06810248,0.12723216,0.07249471
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.030629288,0.43624616,0.1103003,0.42282426
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.032182567,0.2531355,0.14423226,0.57044965
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,False,0.704872,0.29383436,0.00087854883,0.00041499708
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,True,0.2305645,0.40465328,0.33546934,0.029312987
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.2849653,0.26770014,0.1958536,0.251481
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.05929576,0.104067296,0.8185527,0.018084185
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.15193461,0.60091305,0.14272936,0.10442303
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.008844082,0.1890948,0.74788445,0.05417657
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.16804434,0.13931367,0.3786938,0.31394815
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.8857672,0.04409975,0.064164765,0.0059682527
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.48868367,0.05569222,0.33586705,0.11975708
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.25711754,0.33014542,0.39823142,0.014505578
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.9565952,0.027136518,0.012818382,0.003450021
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.89228576,0.088348255,0.016342783,0.003023111
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.9096092,0.061899684,0.010756552,0.017734556
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.8350802,0.1363231,0.020905823,0.0076908227
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.9564122,0.01021775,0.032219246,0.0011508868
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,False,0.9318017,0.059568085,0.004315098,0.004315098
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.036880057,0.068901025,0.893522,0.00069692393
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.39052185,0.4565663,0.08713721,0.06577461
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.02417771,0.0067139072,0.033047013,0.93606144
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.120664194,0.27192095,0.21177225,0.39564264
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.31367797,0.6238231,0.05802459,0.004474376
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.1247602,0.28115144,0.3610056,0.23308274
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,False,0.10447852,0.34257188,0.25063094,0.30231863
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.56046766,0.38520342,0.02462523,0.029703697
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.89098644,0.088219605,0.0049770097,0.015816903
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.06935886,0.7937702,0.11435345,0.022517528
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.06279284,0.33945486,0.55966645,0.03808578
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,False,0.6274991,0.23084402,0.093269415,0.048387535
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.0010088172,0.020262636,0.9763085,0.002420027
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,False,0.021663422,0.051967844,0.46318436,0.46318436
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.7328341,0.11238375,0.08222171,0.07256041
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,True,0.01712618,0.3897901,0.5005004,0.09258326
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.52867067,0.3633497,0.06721294,0.040766705
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,False,0.007047905,0.0628173,0.4940963,0.43603846
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.94568247,0.04423016,0.008709434,0.0013780326
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.02963621,0.062739864,0.23310687,0.67451704
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.2963333,0.20366672,0.20366672,0.2963333
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.009066732,0.005499251,0.98447835,0.00095562654
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.00777057,0.48074815,0.48074815,0.0307332
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.019801656,0.003662938,0.9540972,0.022438217
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.8549935,0.08465582,0.037565794,0.022784805
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.49900758,0.26709953,0.16200404,0.071888864
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,False,0.13746496,0.4797998,0.37366846,0.009066796
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.3474784,0.0028241358,0.64917505,0.0005224126
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,False,0.57897896,0.21299446,0.15583007,0.05219654
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.02174341,0.7664816,0.18205532,0.029719716
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.0006691997,0.093300655,0.885212,0.02081819
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,False,0.15973452,0.76205075,0.055202775,0.02301194
How many sides does a rhombus have?,4,6,8,10,A,True,0.9917,0.00109081,0.0026167175,0.004592482
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.67698485,0.04327819,0.09752892,0.182208
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,False,0.5677907,0.34438246,0.08707353,0.00075333356
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,False,0.01516649,0.043885697,0.7778926,0.16305514
