0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_choiceD_probs
Nearsightedness results from,too much curvature of the cornea and lens,too little curvature of the cornea and lens,too much curvature of the iris and lens,too little curvature of the iris and lens,A,True,0.95255816,0.028764764,0.009338551,0.009338551
Delusions of grandeur are most characteristic of,OCD.,schizophrenia.,conversion disorder.,antisocial personality disorder.,B,True,0.30900928,0.39677578,0.12881424,0.16540074
Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?,Homeostatic regulation,Goal-setting,Expectancy-value,Hierarchy of needs,D,True,0.000908129,0.001029045,0.0021784883,0.99588436
"In test construction and evaluation, validity refers to the degree to which a test",measures what it purports to measure,yields consistent results on successive administrations,has been piloted and statistically analyzed,includes norms based on a representative sample of the general population,A,True,0.97370726,0.008424219,0.0039793192,0.013889188
The precedent established in Larry P. v. Riles resulted in,"the provision of a free, appropriate public education for students with disabilities",the provision of bilingual education for English-language learners,schools being held responsible for providing tests that do not discriminate on the basis of race,the assignment of similar funding to athletic activities for boys and girls,C,False,0.9931035,0.0027894233,0.0013176303,0.0027894233
The heritability for traits of a cloned population is,0%,25%,50%,75%,A,False,0.07888234,0.16699392,0.40059757,0.35352612
Which of the following statistics provides the most information about how spread out a distribution of scores is?,variance,mean,range,median,A,False,0.43811905,0.019249609,0.046177413,0.49645394
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?",They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.,They should provide professional but not administrative supervision.,They are eligible to serve as supervisors after one year of experience as a school psychologist.,They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.,D,False,0.2410339,0.21271168,0.2731272,0.2731272
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are",at the beginning of the list,in the middle of the list,at the end of the list,distributed throughout the list,A,True,0.3748085,0.15624341,0.17704698,0.29190114
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?",Piaget's cognitive development theory,Erikson's psychosocial stage theory,Kohlberg's moral development theory,Ainsworth's social attachment theory,B,True,0.00570988,0.96025413,0.005038951,0.028997162
