0,1,2,3,4,5,alpacacode_llama2_7B_correct,alpacacode_llama2_7B_choiceA_probs,alpacacode_llama2_7B_choiceB_probs,alpacacode_llama2_7B_choiceC_probs,alpacacode_llama2_7B_choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.34611315,0.34611315,0.14428142,0.16349226
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,True,0.09692768,0.20519589,0.26347676,0.43439972
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.17089841,0.19365326,0.46455002,0.17089841
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.093693584,0.17504266,0.120304935,0.6109589
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.32545507,0.19739848,0.2236818,0.25346467
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,True,0.32412055,0.3672767,0.17348923,0.13511355
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.22592203,0.3287146,0.15527378,0.2900896
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.48280114,0.17761262,0.13832484,0.20126146
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.37139764,0.37139764,0.13662957,0.12057516
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.28012884,0.28012884,0.19252954,0.24721283
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.19475931,0.2206912,0.36385828,0.2206912
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.33248794,0.33248794,0.15705618,0.17796798
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.30881423,0.17595705,0.16529635,0.34993237
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,True,0.33424002,0.20272683,0.20272683,0.2603064
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,True,0.36385828,0.2206912,0.2206912,0.19475931
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.16592051,0.24141292,0.35125372,0.24141292
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.27252734,0.16529618,0.34993201,0.2122445
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.27312723,0.24103393,0.2127117,0.27312723
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.33248794,0.33248794,0.17796798,0.15705618
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,False,0.30359888,0.18414204,0.20866026,0.30359888
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,True,0.3128416,0.13041179,0.1015648,0.45518184
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,True,0.30359888,0.18414204,0.20866026,0.30359888
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.46191543,0.16992919,0.14996198,0.2181934
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.51404065,0.18910499,0.12996984,0.16688456
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,True,0.14007437,0.14007437,0.23094359,0.4889076
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.2575662,0.2575662,0.22730139,0.2575662
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.54517084,0.17699106,0.121644065,0.15619406
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,True,0.3182897,0.3182897,0.19305246,0.17036821
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.17528054,0.2550317,0.37106892,0.19861889
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.3103132,0.3103132,0.21327494,0.16609868
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.21180658,0.2400083,0.2400083,0.30817676
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.15073937,0.2816182,0.24852721,0.31911525
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,True,0.13361832,0.22029938,0.28287,0.36321226
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,True,0.2528408,0.28650615,0.23752193,0.22313121
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,True,0.21101426,0.21101426,0.3070239,0.27094764
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,False,0.28108826,0.21891177,0.21891177,0.28108826
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.5046292,0.21036074,0.1856427,0.09936738
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.13417408,0.60132647,0.0922164,0.17228292
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,True,0.21013692,0.26982114,0.39258742,0.12745447
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.33086544,0.37491965,0.15628976,0.13792524
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,False,0.5009465,0.39013755,0.041120194,0.06779574
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.7782784,0.072391175,0.0563783,0.0929521
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,True,0.16298708,0.20927955,0.4430448,0.18468855
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.20126146,0.48280114,0.13832484,0.17761262
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.70946,0.15830193,0.070246056,0.061991923
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,True,0.17089841,0.17089841,0.46455002,0.19365326
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,False,0.25948337,0.17834014,0.22899327,0.33318323
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.29068938,0.25653246,0.22638911,0.22638911
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.4032267,0.21583171,0.1904708,0.1904708
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.3081768,0.24000832,0.24000832,0.21180661
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.16992919,0.46191543,0.14996198,0.2181934
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.9051379,0.039768983,0.019997101,0.035096005
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,False,0.22446732,0.22446732,0.22446732,0.32659802
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.10778843,0.22818811,0.33201173,0.33201173
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.3575705,0.24575438,0.21687748,0.17979774
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,False,0.22638911,0.22638911,0.29068938,0.25653246
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.099032596,0.20965199,0.3456577,0.3456577
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,True,0.15041512,0.19313684,0.19313684,0.4633112
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.21392198,0.45287284,0.16660261,0.16660261
What is the optimal span of control?,2,5,7,None of the above,D,True,0.23257595,0.26354307,0.20524755,0.29863343
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,False,0.21637933,0.19095409,0.31483006,0.27783656
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,True,0.2821834,0.21976466,0.24902599,0.24902599
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,False,0.29863346,0.23257597,0.2635431,0.20524758
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,True,0.29902342,0.4350765,0.14124866,0.12465151
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.05627772,0.10514063,0.1529787,0.68560296
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,True,0.18468855,0.16298708,0.20927955,0.4430448
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,False,0.33065623,0.2918031,0.20055315,0.17698753
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,False,0.44039834,0.38865015,0.111350134,0.059601434
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,False,0.41162863,0.3205767,0.14225505,0.12553965
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,True,0.21795325,0.21795325,0.24697338,0.3171201
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,False,0.27120194,0.27120194,0.27120194,0.18639418
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,False,0.3447859,0.20912322,0.20912322,0.23696765
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,False,0.38253227,0.23201755,0.18069544,0.20475478
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,True,0.786873,0.0829358,0.047255397,0.0829358
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,False,0.42019966,0.28879872,0.13641885,0.15458283
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,False,0.17432646,0.41818747,0.2536435,0.15384258
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,True,0.06280811,0.08064721,0.09138526,0.7651594
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.35347164,0.24293727,0.21439138,0.18919975
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,False,0.14259307,0.18309313,0.23509625,0.4392176
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,True,0.06795215,0.34508947,0.44310364,0.1438547
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,True,0.2780262,0.1686314,0.40452573,0.1488167
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,False,0.24613409,0.24613409,0.31604242,0.19168942
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,True,0.45775676,0.24501954,0.14861186,0.14861186
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,False,0.19861887,0.25503168,0.3710689,0.17528053
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,False,0.25,0.25,0.25,0.25
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,False,0.15384258,0.2536435,0.41818747,0.17432646
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,False,0.14885873,0.13136736,0.31513393,0.40463996
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,False,0.121286504,0.15573494,0.6159437,0.10703496
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,True,0.17874718,0.122851014,0.6238889,0.07451291
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,True,0.23062675,0.15850729,0.23062675,0.38023922
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.3908305,0.23705068,0.16292238,0.2091965
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,False,0.07302835,0.11310851,0.5744124,0.23945071
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,False,0.40202868,0.21519046,0.16759048,0.21519046
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,False,0.21976466,0.24902599,0.2821834,0.24902599
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,False,0.26089656,0.24508965,0.21629086,0.27772295
