0,1,2,3,4,5,llama2_7B_ds_sharegpt_xc_52000/epoch2_correct,llama2_7B_ds_sharegpt_xc_52000/epoch2_choiceA_probs,llama2_7B_ds_sharegpt_xc_52000/epoch2_choiceB_probs,llama2_7B_ds_sharegpt_xc_52000/epoch2_choiceC_probs,llama2_7B_ds_sharegpt_xc_52000/epoch2_choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,True,0.025676435,0.96350116,0.010703531,0.00011890549
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,True,0.068336874,0.053220816,0.30626464,0.57217765
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.0024701438,0.00070770807,0.99652714,0.0002950166
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.0214255,0.040028106,0.027510889,0.9110355
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,True,0.12913413,0.06912052,0.35102296,0.4507224
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,True,0.05336988,0.9460038,0.00059288583,3.344833e-05
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.061833534,0.8535856,0.022747286,0.061833534
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,True,0.35102296,0.06912052,0.12913413,0.4507224
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,True,0.004066994,0.99516064,0.00070673757,6.573684e-05
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.12314605,0.23006712,0.62538725,0.021399574
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.0075365854,0.0007943503,0.9870979,0.00457117
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.6109006,0.32699153,0.05682261,0.0052853255
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,True,0.5843741,0.06979354,0.06979354,0.2760388
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,True,0.6121244,0.3712722,0.014395786,0.0022076652
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.16261172,0.14350435,0.39008525,0.3037987
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.0027687284,0.00054519495,0.9857356,0.010950533
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.25908282,0.095311254,0.6215074,0.024098458
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,True,0.08922139,0.017568734,0.5817965,0.31141326
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,True,0.19798923,0.25422323,0.47495148,0.07283617
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,True,0.13204692,0.029463649,0.24669611,0.59179324
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,True,0.0027253209,0.0011360827,0.025857124,0.9702814
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,True,0.50727594,0.041639745,0.21146406,0.23962018
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.6887247,0.19732293,0.06406138,0.04989105
