0,1,2,3,4,5,alpacacode_llama2_chat_7B_correct,alpacacode_llama2_chat_7B_choiceA_probs,alpacacode_llama2_chat_7B_choiceB_probs,alpacacode_llama2_chat_7B_choiceC_probs,alpacacode_llama2_chat_7B_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.011477856,0.55303407,0.43070337,0.0047846823
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.037423737,0.2765261,0.6633516,0.022698643
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.6341335,0.26434618,0.097247526,0.004272758
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.7284755,0.16254486,0.09858844,0.010391145
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.1585377,0.43095013,0.3356243,0.0748879
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.9444474,0.053282075,0.0020659703,0.00020455876
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.047586028,0.74437076,0.1882064,0.019836808
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.6075982,0.36852694,0.023559138,0.00031569263
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.040554848,0.8145659,0.14155033,0.0033289448
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.019239625,0.81808966,0.1610914,0.0015792846
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.52467287,0.28083715,0.19301637,0.0014736981
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,True,0.30029488,0.34027869,0.30029488,0.05913157
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.03258754,0.21249746,0.6545383,0.100376695
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,True,0.67793703,0.029786475,0.009670252,0.28260618
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.44317478,0.44317478,0.112052135,0.0015983379
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.0014545217,0.02921485,0.96746296,0.0018676429
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.058379628,0.91321105,0.027576584,0.0008327407
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.48592764,0.48592764,0.027414162,0.00073056266
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.05573761,0.769434,0.17168394,0.0031445008
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.0037554246,0.43406808,0.55735445,0.004822061
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.25709864,0.6167476,0.12144481,0.004708926
