0,1,2,3,4,5,llama2_7B_ds_alpaca_52000/epoch2_correct,llama2_7B_ds_alpaca_52000/epoch2_choiceA_probs,llama2_7B_ds_alpaca_52000/epoch2_choiceB_probs,llama2_7B_ds_alpaca_52000/epoch2_choiceC_probs,llama2_7B_ds_alpaca_52000/epoch2_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.0003345126,0.0024717324,2.5794841e-05,0.997168
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.05790083,0.005385617,0.030992081,0.9057214
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.04251609,0.024224937,0.9090341,0.024224937
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.0008647921,0.89090145,0.0018307648,0.10640301
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.004826925,0.002280078,0.81176394,0.18112902
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.030635886,0.034715008,0.03933726,0.89531183
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.0045743114,0.9877763,0.0001075775,0.007541765
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.0017958849,0.0023059617,0.4979491,0.4979491
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.10322745,0.7627534,0.0014724606,0.13254668
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.0011519095,0.9837984,0.0010165565,0.014033129
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.036209874,0.56641775,0.008079515,0.38929287
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.007186375,0.41766804,0.53629637,0.03884918
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.0068260417,0.6144607,0.0060239607,0.37268925
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.025657993,0.5153546,0.004188552,0.45479882
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.002175987,0.002175987,0.00090708636,0.99474096
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.010947607,0.11769788,0.10386801,0.7674866
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.0011473622,0.0066026133,0.9799147,0.012335306
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.032881916,0.96095043,0.0011251572,0.005042605
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.35942924,0.35942924,0.0012177652,0.27992377
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.021498356,0.7119278,0.035444796,0.23112911
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.0047350763,0.748071,0.21432593,0.032867946
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.003898418,0.012007973,0.24118659,0.742907
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.020448038,0.20651786,0.052215893,0.72081816
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.028034309,0.8192826,0.010313246,0.14236997
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.0044723516,0.029163396,0.000605267,0.96575904
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.0018044184,0.9949956,3.3049077e-05,0.003166853
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,True,0.005790181,0.0065611345,0.013889921,0.9737587
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,True,0.01344129,0.010468087,0.14450748,0.83158314
