0,1,2,3,4,5,llama2_7B_ds2_sharegpt_xc_52000/epoch2_correct,llama2_7B_ds2_sharegpt_xc_52000/epoch2_choiceA_probs,llama2_7B_ds2_sharegpt_xc_52000/epoch2_choiceB_probs,llama2_7B_ds2_sharegpt_xc_52000/epoch2_choiceC_probs,llama2_7B_ds2_sharegpt_xc_52000/epoch2_choiceD_probs
Nearsightedness results from,too much curvature of the cornea and lens,too little curvature of the cornea and lens,too much curvature of the iris and lens,too little curvature of the iris and lens,A,True,0.99360114,0.0031624148,0.0013182906,0.0019181015
Delusions of grandeur are most characteristic of,OCD.,schizophrenia.,conversion disorder.,antisocial personality disorder.,B,True,0.032473333,0.9490099,0.013536898,0.004979947
Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this?,Homeostatic regulation,Goal-setting,Expectancy-value,Hierarchy of needs,D,True,0.005849563,0.004555644,0.005849563,0.9837452
"In test construction and evaluation, validity refers to the degree to which a test",measures what it purports to measure,yields consistent results on successive administrations,has been piloted and statistically analyzed,includes norms based on a representative sample of the general population,A,True,0.9869206,0.0075352318,0.0027720567,0.0027720567
The precedent established in Larry P. v. Riles resulted in,"the provision of a free, appropriate public education for students with disabilities",the provision of bilingual education for English-language learners,schools being held responsible for providing tests that do not discriminate on the basis of race,the assignment of similar funding to athletic activities for boys and girls,C,False,0.99426055,0.0019193745,0.0010273671,0.0027926732
The heritability for traits of a cloned population is,0%,25%,50%,75%,A,False,0.219266,0.36150852,0.24846093,0.17076454
Which of the following statistics provides the most information about how spread out a distribution of scores is?,variance,mean,range,median,A,True,0.5262387,0.21936892,0.1507699,0.10362254
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district?",They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns.,They should provide professional but not administrative supervision.,They are eligible to serve as supervisors after one year of experience as a school psychologist.,They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential.,D,False,0.43495992,0.26381654,0.16001281,0.14121081
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are",at the beginning of the list,in the middle of the list,at the end of the list,distributed throughout the list,A,False,0.2605025,0.624913,0.074635215,0.03994935
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics?",Piaget's cognitive development theory,Erikson's psychosocial stage theory,Kohlberg's moral development theory,Ainsworth's social attachment theory,B,True,0.009654349,0.9847704,0.0024410018,0.0031343086
The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests?,aptitude,projective,achievement,intelligence,C,True,0.045917753,0.014907313,0.92228276,0.016892198
Our ability to perceive depth depends primarily on what other perceptual abilities?,proximity and similarity,top-down processing and bottom-up processing,binocular and monocular cues,size and shape constancy,C,True,0.0137425475,0.012127756,0.963427,0.010702707
A person who sustains major injuries that involve the destruction of the medulla oblongata will,be paralyzed,fall into a coma,suffer severe speech impairment,die,D,False,0.413216,0.413216,0.08136705,0.09220096
Which of the following terms applies to IQ tests?,achievement,standardized,projective,triarchic,B,True,0.34208873,0.63910586,0.0070998245,0.011705632
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass.",discrimination,spontaneous recovery,trace conditioning,generalization,D,True,0.24874751,0.091509104,0.13314496,0.5265985
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by",the mere-exposure effect.,self-serving bias.,equipotentiality.,the fundamental attribution error.,D,False,0.769087,0.19445565,0.020495474,0.015961891
All of the following are examples of punishment EXCEPT,grounding a teenager for staying out past curfew,spanking a child for misbehavior,permanently revoking the driving privileges of a third-time DWI driver,refusing to return the boss' phone call after not getting the expected raise,D,False,0.23163532,0.12398545,0.38190207,0.26247722
Which of the following must be done when universal screening data show that very few students are successfully meeting school competencies?,Changes must be made in the delivery of the core program.,Students who are not meeting competencies must be given strategic or supplemental instruction.,Students must be given more time to develop competencies.,Students who are not meeting competencies must be evaluated for learning disabilities.,A,True,0.8928594,0.09410668,0.0077247475,0.005309136
Substances that are toxic to humans often taste,sour,sweet,salty,bitter,D,True,0.01257949,0.09295056,0.01257949,0.8818904
All public institutions subscribe to all of the following ethical guidelines EXCEPT,avoiding unnecessary deception to humans,avoiding unnecessary pain to humans and other animals,avoiding use of animals when computers are available,protecting confidentiality,C,False,0.29190114,0.15624341,0.17704698,0.3748085
Which of the following kinds of tests is most likely to be an achievement test?,an IQ test,a classroom test over a chapter in a textbook,an entrance exam for law school,a personality test based on the Big Five personality traits,B,True,0.4303469,0.55257636,0.00695591,0.0101207895
A fetus with the genotype XXY will most likely,result in a miscarriage.,suffer from sterility as an adult.,be color blind.,grow into a depressed adult.,B,False,0.12302036,0.09580835,0.551339,0.22983228
"Susan is a first-grade student who is referred to the school psychologist because she will not remain seated at her desk. Her teacher reports that Susan is ""always getting up and walking around the room."" What observation data is LEAST relevant to the referral concern?",Frequency,Duration,Intensity,Peer comparison,C,False,0.16125639,0.07617213,0.26586685,0.49670464
