0,1,2,3,4,5,llama_7B_alpaca_20000_2/ckp10k_correct,llama_7B_alpaca_20000_2/ckp10k_choiceA_probs,llama_7B_alpaca_20000_2/ckp10k_choiceB_probs,llama_7B_alpaca_20000_2/ckp10k_choiceC_probs,llama_7B_alpaca_20000_2/ckp10k_choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,True,0.40709043,0.52271444,0.058646936,0.011548267
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.61935663,0.20107566,0.121958554,0.057609145
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,False,0.8778283,0.07205653,0.034037095,0.016077986
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,False,0.6402265,0.18342796,0.1045141,0.07183142
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.7462322,0.20084567,0.023987597,0.028934563
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,False,0.7805893,0.1274277,0.053119767,0.03886325
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.737748,0.21136835,0.028605595,0.022278061
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.8057823,0.096236974,0.07040847,0.027572354
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.7626743,0.17017564,0.031479325,0.035670754
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.7829009,0.18595527,0.02516631,0.0059775226
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,False,0.7251694,0.16180718,0.08660914,0.026414296
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.7723065,0.13420674,0.059553884,0.03393278
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,True,0.8250909,0.11886562,0.03405557,0.021987926
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,True,0.73759377,0.19852068,0.041612193,0.022273403
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,True,0.7855958,0.11317581,0.064485624,0.036742806
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,False,0.8135684,0.11720565,0.04885858,0.020367287
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.81705433,0.09758323,0.055601247,0.029761203
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.6269381,0.21666402,0.06607879,0.090319
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.6338059,0.19329987,0.110138945,0.06275528
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,False,0.7933143,0.114287764,0.047642224,0.044755727
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.61111265,0.30728674,0.034476615,0.04712395
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,True,0.63506263,0.16056898,0.071252055,0.13311636
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.8673349,0.080674715,0.03159267,0.020397762
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.7935374,0.1216929,0.054000895,0.030768782
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,False,0.70251226,0.10120649,0.0950747,0.10120649
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.62204194,0.18971208,0.057858918,0.13038707
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.83462906,0.11295476,0.04423372,0.008182415
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,True,0.78293985,0.12006772,0.06037384,0.036618587
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.62515426,0.2774105,0.07466403,0.022771243
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.69390315,0.22527736,0.04167212,0.039147336
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,True,0.5383855,0.288177,0.12013005,0.053307384
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,False,0.75128025,0.14793585,0.065646134,0.035137847
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,False,0.7916803,0.14644612,0.039415438,0.022458242
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,False,0.8469881,0.065312706,0.013690287,0.074008994
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,False,0.79568,0.12989119,0.03721445,0.03721445
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,False,0.84205943,0.069120444,0.06493265,0.023887388
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.8576279,0.079771824,0.033253845,0.029346414
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,False,0.76917255,0.15145905,0.043393746,0.03597468
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,False,0.8868158,0.07279427,0.028506648,0.011883338
