0,1,2,3,4,5,alpacacode_llama2_7B_chat_correct,alpacacode_llama2_7B_chat_choiceA_probs,alpacacode_llama2_7B_chat_choiceB_probs,alpacacode_llama2_7B_chat_choiceC_probs,alpacacode_llama2_7B_chat_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,True,0.0003912884,0.07456637,0.90840435,0.016638007
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.025855193,0.24530724,0.6668142,0.062023386
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,True,0.01971192,0.21192311,0.7396843,0.028680671
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.66079766,0.022611251,0.3121387,0.0044524195
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.099199206,0.5037751,0.2696514,0.12737429
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.6676393,0.31537047,0.015701372,0.0012888471
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.02310482,0.24840023,0.40954274,0.3189522
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.044335295,0.54011446,0.3712149,0.044335295
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,True,0.0015476067,0.33418998,0.62434906,0.0399133
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.0010465101,0.42219228,0.5421056,0.034655653
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.026971962,0.32858577,0.613879,0.030563235
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.32731417,0.120412156,0.22495952,0.32731417
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.011444716,0.058121063,0.37899697,0.5514373
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,True,0.8096409,0.0054553174,0.0042486056,0.1806553
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.14866643,0.27774546,0.5188968,0.054691322
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.0009873413,0.0064382744,0.9555246,0.03704971
