0,1,2,3,4,5,alpacacode_llama2_7B_chat_correct,alpacacode_llama2_7B_chat_choiceA_probs,alpacacode_llama2_7B_chat_choiceB_probs,alpacacode_llama2_7B_chat_choiceC_probs,alpacacode_llama2_7B_chat_choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,False,0.004797289,0.9142015,0.014776691,0.06622454
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.46252546,0.4081773,0.10320338,0.0260939
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.016384857,0.6967018,0.030610943,0.2563023
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.0932767,0.41803718,0.3689165,0.11976966
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,False,0.014696962,0.016653841,0.2605099,0.7081393
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.0084862895,0.9808817,0.0084862895,0.0021456701
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,True,0.09299232,0.25277933,0.36779177,0.28643653
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,True,0.00192167,0.00192167,0.00070694287,0.9954497
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.01860208,0.6980379,0.19999123,0.08336874
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,False,0.10518241,0.47139484,0.36712268,0.056300085
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,True,0.001156984,0.9881324,0.008549021,0.002161531
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.5127222,0.2421928,0.16645652,0.078628495
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.0030941898,0.7571233,0.21691947,0.022863142
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.949274,0.04726157,0.0023530151,0.0011114855
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.07297284,0.8889912,0.026845207,0.011190748
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,False,0.007214141,0.6493963,0.3067531,0.03663643
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,True,0.5117504,0.35172057,0.047600206,0.088928886
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.00036773572,0.9673972,0.022751002,0.009484028
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.4437881,0.4437881,0.025036812,0.08738706
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.072873935,0.7834686,0.09357198,0.05008547
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,False,0.24184777,0.21342991,0.51199174,0.032730535
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,True,0.04801688,0.4020404,0.4020404,0.1479024
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,True,0.04645563,0.9330863,0.019365588,0.0010925317
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,False,0.3465843,0.6475047,0.0020608655,0.0038502037
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,True,0.19593975,0.081679836,0.118843466,0.6035369
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,False,0.0180816,0.10405243,0.46633062,0.41153532
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,False,0.020707205,0.22262344,0.5340459,0.22262344
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,True,0.99594384,0.0027974013,0.00022962467,0.0010291064
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,True,0.048999496,0.6764172,0.19379677,0.08078651
A Binary number system has how many digits.,0,1,2,10,C,True,0.0101067545,0.05132634,0.70853823,0.23002869
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",LC.,RL.,RC.,Any of the above.,C,False,0.19313684,0.4633112,0.19313684,0.15041512
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A,False,0.080796756,0.038165685,0.012390583,0.868647
"The voltage induced in an inductor is represented as,",product of its inductance and current through it.,ratio of its inductance to current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,D,False,0.8549626,0.13111277,0.00652772,0.007396876
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",1,2,4,8,C,False,0.026429672,0.41342965,0.36485037,0.19529033
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B,True,0.0045991987,0.9931504,0.0019172314,0.00033316485
In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10,100,50,1,A,False,0.090713255,0.52201873,0.31662038,0.07064755
Magnetic flux has the unit of,Newton,Ampere turn,Weber,Tesla,C,False,0.00064104376,0.7965919,0.20140997,0.0013570897
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",Reciprocity theorem,Thevinin's theorem,Norton's theorem,Compensation theorem,A,True,0.9312647,0.06746059,0.0009622736,0.0003124045
A D-flip-flop is said to be transparent when,the output is LOW,the output is HIGH,the output follows clock,the output follow input,D,False,0.015167947,0.12699968,0.73083264,0.12699968
A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be,500 Hz.,250 Hz.,400 Hz.,625 Hz.,B,False,0.051568814,0.2311154,0.3362709,0.38104486
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A,False,0.019120568,0.040478244,0.92128056,0.019120568
Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,,B,True,0.020188576,0.9727401,0.0030960187,0.0039753667
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,4,5,6,A,False,0.02308452,0.31867197,0.52540123,0.13284224
"The output of the system has an effect upon the input quantity, then the system is a",open loop control system.,closed loop control system.,either A or B.,none of the above.,B,True,0.00042918907,0.9963935,0.0024698128,0.00070761313
"A sinusoidal signal is analog signal, because",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A,True,0.9935588,0.0052137184,0.00079954957,0.00042796804
FM stands for,frequent modulation.,frequency modulation.,frequency moderator.,frequent moderator.,B,True,1.6700473e-05,0.99992645,4.539659e-05,1.1478056e-05
Stack is also known as,FIFO memory,Flash memory,LIFO memory,LILO memory,C,False,0.8414861,0.11388276,0.032627955,0.0120031545
"In Ward-Leonard system, the lower limit of the speed imposed by",Field resistance.,Armature resistance.,Residual magnetism of the generator.,None of above.,C,False,0.12877116,0.57711226,0.12877116,0.16534543
Colpitts oscillator is also called as,Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,D,False,0.45304573,0.51336807,0.013680795,0.01990544
An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be,1500 A.,6000 A.,2121.32 A.,4242.64 A.,C,False,0.13351421,0.46601036,0.28264958,0.11782587
Both the ALU and control section of CPU employ which special purpose storage location?,Buffers,Decoders,Accumulators,Registers,C,False,0.24688134,0.033411756,0.04861382,0.67109305
Systematic errors are,environmental errors.,observational errors.,instrument errors.,all of the above.,D,True,0.009517862,0.012221178,0.0074125193,0.97084844
Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C,True,0.020091077,0.008375208,0.9680424,0.003491306
A diode (p-n junction) when reverse biased act as,On Switch,Zener diode,Capacitor,Off Switch,D,True,0.039190654,0.050321795,0.018512353,0.89197516
Piezoelectric effect is carried out in,composite filter.,crystal filter.,m derived.,constant k prototype.,B,True,0.070294864,0.755741,0.13132809,0.04263599
The resistivity of the conductor depends on,area of the conductor.,length of the conductor.,type of material.,none of these.,C,True,0.16770913,0.08976823,0.6633025,0.07922018
The smallest change in measured variable to which instrument will respond is,resolution.,accuracy.,precision.,sensitivity.,A,True,0.8255446,0.067764826,0.09859724,0.008093354
"In electronic communications, ""AM"" stands for",Amp Modification,Amplitude Method,Amplitude Modulation,Ampere Method,C,True,7.433208e-05,0.00669116,0.99305624,0.00017831339
Which system is also known as automatic control system?,Open loop control system,Closed loop control system,Either A or B,Nether A nor B,B,True,0.00030822575,0.91880804,0.07542036,0.0054634325
A combinational PLD with a fixed AND array and a programmable OR array is called a,PLD,PROM,PAL,PLA,B,False,0.80520725,0.12348253,0.040088907,0.031221272
A null type instrument as compared to a deflected type instrument has,a lower sensitivity.,a faster response.,a higher accuracy.,all of the above.,C,False,0.02838723,0.12722275,0.11227368,0.73211634
"Length of the cable is doubled, its capacitance C will be",one-fourth.,one-half.,doubled.,unchanged.,C,True,0.061276156,0.311186,0.51305896,0.11447893
Electrons in p-type material of a semi-conductor are called as,either minority carriers or majority carriers,minority carriers,majority carriers,valance carriers,B,True,0.0045862296,0.9903499,0.0031520668,0.001911825
________ is the most detrimental impurity in the magnetic materials,Carbon.,Sulphur.,Oxygen.,Nitrogen.,A,True,0.33065623,0.20055315,0.2918031,0.17698753
Voltage controlled oscillators are used commonly in,Pulse Modulators Frequency Modulators Phase Clocked loops,Frequency Modulators,Phase Clocked loops,All the above,D,False,0.027878784,0.9232185,0.0029384021,0.04596434
Low frequency supply is necessary for direct core type induction furnaces because,With normal frequeny supply the electromagnetic forces causes severe stirring action in the molten metal.,Magnetic coupling between the primary and secondary circuit is poor.,Both A and B.,None of the above.,C,True,0.028127154,0.036115978,0.9314434,0.0043134387
"The moving coil-meters, damping is provided by",the aluminium frame of the coil.,the coil spring attached to the moving.,eddy current disk.,damping vane in the airtight chamber.,A,False,0.02291377,0.062286086,0.054967277,0.8598329
Which of the following is the analogous quantity for mass element in force-voltage analogy?,Resistance.,Inductance.,Capacitance.,All of the above.,B,True,0.046833917,0.503512,0.14425862,0.30539548
A latch is ________ sensitive,both level and edge,edge,level,,C,False,0.2042068,0.71275175,0.07512348,0.007917956
What is used to protect the SCR from over current ?,CB and fuse.,Heat sink.,Snubber circuit.,Voltage clamping device.,A,False,0.0010238062,0.0035734347,0.9908144,0.004588381
The errors mainly caused by human mistakes are,gross error.,instrumental error.,observational error.,systematic error.,A,False,0.028766736,0.7419039,0.100405775,0.12892357
Electrical analogous quantity for dash-pot in force-current analogy is,resistance.,conductance.,inductance.,capacitance.,B,True,0.16635203,0.6579351,0.14680517,0.028907651
Which lamp has the best Colour Rendering Index (CRI)?,LED,Fluorescent,Incandescent,High pressure sodium vapour,C,False,0.14774989,0.66216904,0.042331047,0.14774989
Power dissipation in ideal inductor is,Maximum,Minimum,Zero,A finite value,C,False,0.100706466,0.5114296,0.11411537,0.27374855
For intermittent work which of the following furnace is suitable?,Core less furnace.,Indirect arc furnace.,Either of above.,Nither of above.,B,True,0.061803855,0.51747733,0.40301174,0.0177071
In electrical resistance welding material of electrode should have,higher electrical conductivities.,higher thermal conductivities.,sufficient strength to sustain high pressure at elevated temperatures.,all of above.,D,True,0.00033425452,9.576553e-05,0.0031713187,0.9963987
Which of the following are the passive elements?,Resistor,Bulb,Both,None of these.,C,False,0.6172824,0.25732157,0.09466332,0.03073268
The main advantage of dielectric heating is that,heating occurs in the material itself.,heating occurs due to high frequency.,it can be used for drying the explosives.,None of the above.,A,False,0.0109653445,0.9870689,0.001483998,0.00048178365
Materials used in heat sink should have,high thermal conductivity.,large surface area.,high melting point.,All of these.,D,False,0.18177035,0.7189157,0.0020192862,0.09729466
Conductor is static and the field is varying then emf will be induced. This principle is called,virtually induced emf.,dynamically induced emf.,static induced emf.,none of these,C,False,0.007562901,0.5302003,0.41292042,0.049316313
"Four identical alternators each are rated for 20 MVA, 11 KV having a subtransient reactance of 16% are working in parallel. The short circuit level at the busbar is",500 MVA,400 MVA,125 MVA,100 MVA,A,False,0.10030659,0.3501044,0.30896604,0.240623
"According to the Bohr model, an electron gains or losses energy only by",moving faster or slower in an allowed orbit.,jumping from one allowed orbit to another.,being completely removed from an atom.,jumping from one atom to another atom.,B,True,0.00091052975,0.9985171,0.0005522642,2.0116222e-05
A three-state buffer has the following output states,"1, 0, float","High, Low, Float",Both A and B,"Set, Reset, Halt",C,True,0.054312248,0.40131626,0.5153003,0.029071253
"By using which of the following elements, mechanical translational systems are obtained?",mass element,spring element,dash-pot,all of the above,D,True,0.010393459,0.022002956,0.03201411,0.93558943
"Four capacitors each of 40 µF are connected in parallel, the equivalent capacitance of the system will be",160 µF,10 µF,40 µF,5 µF,A,False,0.13712597,0.19951712,0.54234374,0.12101325
"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",R Ω,2R Ω,4R Ω,8R Ω,C,False,0.026148265,0.6743727,0.21893676,0.08054233
A single phase full bridge inverter can operated in load commutation mode in case load consist of,RL.,RLC underdamped.,RLC overdamped.,RLC critically damped.,B,True,0.09439044,0.47935417,0.22643088,0.19982454
A microprocessor is ALU,and control unit on a single chip.,and memory on a single chip.,register unit and I/O device on a single chip.,register unit and control unit on a single chip.,D,False,0.90135556,0.034949347,0.006073286,0.057621732
"To obtain a high value of capacitance, the permittivity of dielectric medium should be",low,zero,high,unity,C,True,0.00012331226,0.0001794183,0.99920964,0.00048770948
Deflection method direct measurements are most widely used as these are,least time consuming.,most simple.,most simple and least time consuming.,most accurate.,C,True,0.0231958,0.06305273,0.870416,0.04333546
Purely mechanical instrument cannot be used for dynamic measurements because they have,high inertia.,higher response time.,large time constant.,all of the above.,D,True,0.002461167,0.0021719723,0.002461167,0.9929056
Advantages of higher transmission voltage is/are,Power transfer capability of the transmission line is increased,Transmission line losses are reduced,Area of cross section and volume of the conductor is reduced,all of the above,D,False,0.005204634,0.9918276,0.0007981564,0.0021696142
Under over voltage condition impedance offered by the voltage clamping device is,high.,low.,moderate.,infinity.,B,True,0.07200066,0.68312323,0.1524254,0.09245068
A long wire composed of a smooth round conductor runs above and parallel to the ground (assumed to be a large conducting plane). A high voltage exists between the conductor and the ground. The maximum electric stress occurs at,lower surface of the conductor.,upper surface of the conductor.,the ground surface.,midway between the conductor and ground.,A,False,0.13832484,0.48280114,0.17761262,0.20126146
In a dc machine 6 pole wave winding is used. The number of parallel paths are?,6,4,2,1,C,False,0.5136458,0.3530233,0.12987,0.0034609183
Which of the following is a digital device,Regulator of a fan,Microphone,Resistance of a material,Light switch,D,False,0.1648868,0.57551146,0.019692918,0.23990886
Instantaneous power in inductor is proportional to the,product of the instantaneous current and rate of change of current.,square of instantaneous current.,square of the rate of change of current.,temperature of the inductor.,A,True,0.99005276,0.009706135,0.00020144442,3.9666756e-05
Which of the following is a variable displacement transducer?,tachometer,potentiometer,synchros,none of the above,B,True,0.034042865,0.774812,0.15256953,0.038575616
"Five capacitors each of 5 µF are connected in series, the equivalent capacitance of the system will be",5 µF,25 µF,10 µF,1 µF,D,False,0.07666598,0.3435931,0.23614785,0.3435931
Susceptibility is negative for,non magnetic substances.,diamagnetic substances.,ferromagnetic substances.,none of above.,B,True,0.008923555,0.91022736,0.07471601,0.0061330637
One of the following is the primary function of an oscillator,produces sinusoidal oscillations,generates non sinusoidal waveforms,generates sustained oscillations at a constant amplitude and specific frequency,none of the above,C,True,0.24493985,0.00053580373,0.75446784,5.6473298e-05
The metal surfaces for electrical resistance welding must be,rough.,clean.,moistened,coloured,B,True,0.003550155,0.98435956,0.009650321,0.0024399834
The latching current of SCR is 20 mA. Its holding current will be,23 mA.,40 mA.,10 mA.,60 mA.,C,False,0.078091085,0.39657924,0.39657924,0.12875043
"In force-current analogy, electrical analogous quantity for displacement (x) is",voltage.,inductance.,capacitance.,flux.,D,False,0.95639145,0.04202091,0.000988237,0.00059939607
Feedback circuit in an oscillator can be accomplished by,Resistive coupling between input and output,Capacitive coupling between input and output,Inductive coupling between input and output,Any one or combinations of the above methods,D,False,0.62336415,0.13909134,0.0351678,0.20237671
"Lowest critical frequency is due to zero and it may be present at the origin or nearer to the origin, then the type of network is",LC circuit.,RC circuit.,RLC circuit.,RL Circuit.,D,False,0.117908046,0.24961132,0.5284272,0.10405348
What is the value of dielectric constant of air?,Less than 1,0.,1.,none of these.,C,False,0.35804868,0.31597686,0.24608302,0.07989146
Temperature variation is a/an,Digital quantity,Analog quantity,Either Digital or Analog quantity,,B,True,0.01071721,0.8513735,0.115220875,0.022688335
The illumination at a point 5 meters below a lamp in 6 lux. The candle power of the lamp is,30,140.,150.,200.,C,False,0.050677348,0.4808133,0.291628,0.17688133
For a dc machine shunt resistance and armature resistance values are,high and high,high and low,low and low,low and high,B,True,0.0051239696,0.86171913,0.07073421,0.062422726
The change of cross sectional area of conductor in magnetic field will affect,reluctance of conductor.,resistance of conductor.,(A) and (B) both in the same way.,none of above.,C,True,0.17445548,0.22400527,0.5373607,0.064178586
Which of the following is used in SCR to protect from high dV / dt?,Snubber circuit.,Fuse.,Equalizing circuit.,Circuit breaker.,A,True,0.87473685,0.11838276,0.006678698,0.0002016792
"What are the sets of commands in a program which are not translated into machine instructions during assembly process, called?",Mnemonics,Directives,Identifiers,Operands,B,False,0.9146723,0.085077785,0.00021088672,3.9010123e-05
Speed of data transmission in 4-G network of telecom is,386 kbps - 2 mbps.,2 mbps.,2 mbps – 1 gbps.,100 mbps - 1 gbps.,D,False,0.0802172,0.52308184,0.27998555,0.116715334
Which of the followings is/are active element?,Voltage source,Current source,Both,None of these.,C,False,0.19822396,0.6105728,0.17493205,0.016271215
Electrical analogous quantity for spring element (K) in force-voltage analogy is,L,R,1/C,C,C,False,0.2821978,0.59741277,0.07135078,0.049038626
A quartz crystal oscillator consists of,only series resonant frequency.,only parallel resonant frequency.,both series and parallel frequencies.,neither series nor parallel frequency.,C,True,0.043026853,0.10321605,0.7626692,0.09108785
Which of the following oscillators are used for low frequency (LF) applications,LC oscillators,RC oscillators,Both LC and RC Oscillators,,B,False,0.19860841,0.37104937,0.42045403,0.009888131
The solid angle subtended by an area of 2400 cm^2 on the surface of a sphere of diameter 1.2 m is,3 / 2.,1 / 3.,2 / 3.,2 / 5.,C,False,0.19033152,0.58626235,0.19033152,0.03307466
Relative error is same as,ratio of absolute error and true value.,absolute error.,true error.,none of the above.,A,True,0.8621281,0.13221163,0.0021370018,0.0035233204
If holding current of a thyristor is 2 mA then latching current should be,0.01 A.,0.002 A.,0.009 A.,0.004 A.,D,False,0.056315467,0.36722296,0.32407314,0.25238842
"In an intel 8085A, which is the first machine cycle of an instruction?",An op-code fetch cycle,A memory read cycle,A memory write cycle,An I/O read cycle,A,True,0.9990221,0.0005525435,9.020024e-05,0.0003351346
Which of the following are the disadvantages of a closed loop control system?,Reduces the overall gain.,Complex and costly.,Oscillatory response.,All of the above.,D,True,0.0010263503,0.0004848136,0.005212237,0.9932766
"Poles and zeros are arranged alternatively on negative real axis, then type of network is/are",LC network.,RC network.,RL network.,Both 2 and 3.,D,True,0.045804597,0.1811607,0.33845276,0.43458194
The magnetisation and applied field in ferromagnetic materials are related,sinusoidally.,non linearly.,linearly.,parabolically.,B,True,0.02230557,0.57526827,0.34891784,0.053508285
Thin laminations are used in a machine in order to reduce,Eddy current losses,Hysteresis losses,Both A and B,Copper losses,A,False,0.036950447,0.21263516,0.7421696,0.008244759
