0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_wizardlm70k_52000_correct,llama_7B_llamatokenizer_alpacacode_wizardlm70k_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_wizardlm70k_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_wizardlm70k_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_wizardlm70k_52000_choiceD_probs
How many human polyomaviruses are known at present?,100,1,10,unknown,A,False,0.08483252,0.20350264,0.08483252,0.62683225
AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,D,True,0.05934651,0.30138645,0.14236487,0.49690223
"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,B,True,0.15850729,0.38023922,0.23062675,0.23062675
What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,B,True,0.008396467,0.667014,0.3150751,0.009514444
Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,B,True,0.050927274,0.9027075,0.03500177,0.01136341
Achieving effective change in a community is usually dependent on which of the following segments of society?,Innovators,Early adapters,Middle adapters,Late adapters,A,False,0.083495006,0.7921786,0.05064228,0.07368409
“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B,True,0.12433214,0.8107473,0.0061901323,0.05873034
Typical clinical symptoms following infection with astroviruses include which of the following?,Acute pneumonia,Gastroenteritis in children,Hepatitis,rashes,B,True,0.0066738985,0.9904944,0.0003765156,0.0024551903
Which of the following is the most special characteristic of the adaptive immune system?,Antibodies,T cells,Memory T cells,Clonal expansion of pre-existing antibodies and/or T cells,D,False,0.0155403195,0.9614455,0.0030600703,0.019954164
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,B,False,0.006220099,0.059014652,0.9231445,0.011620674
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",Incidence,Lifetime expectancy,Lifetime prevalence,Period prevalence,C,False,0.70072097,0.121767044,0.02115994,0.15635198
How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,C,False,0.12917814,0.8423472,0.0030379784,0.025436683
Most surveillance systems use which of the following study designs?,Cohort,Serial cross-sectional,Mortality,Syndromic,B,True,0.19134721,0.66786736,0.0703927,0.0703927
Polio can be eradicated by which of the following?,Attention to sewage control and hygiene,Killed polio vaccine,Live polio vaccine,Combination of the killed and live vaccines.,A,False,0.02618098,0.866995,0.02618098,0.080643095
Public health ethics is:,Patient-centered,Population-centered,Subject-centered,Must respect the rights of individuals,B,True,0.1877224,0.39740834,0.017460903,0.39740834
How many people globally are currently infected with hepatitis B?,350 million,2 billion,"100,000",1 million,A,True,0.6007825,0.28378955,0.023294866,0.092132986
"In a study, a group of people are exposed to an environmental toxin but are not treated observed over time on a standard set of measures to ascertain the potential effects of the toxin. This type of study design is called",Clinical trial,Double-blind,Longitudinal,Prospective cohort,D,False,4.001385e-05,0.0011693761,0.9987159,7.475571e-05
Which disease do polyomaviruses predominantly cause?,Tumours,Brain pathology,No disease at all,Kidney infections,C,False,0.16247097,0.82509565,0.0006639817,0.011769357
How are antibody producing cells stimulated?,Interacting with a virus short peptide,Interacting with a T helper cell.,Interacting with a plasma cell,Interacting with a virus infected cell,B,True,0.006639986,0.9854613,0.0003746024,0.00752409
The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,The brilliance of the principal investigator,The commitment of the staff,The commitment of the participants,The quality of the laboratories,C,False,0.021971652,0.5666564,0.34369448,0.06767746
Picornavirus replication as a positive strand RNA virus is particularly typified by which of the following?,Virions carry RNA transcriptase enzyme into the cell,The virion RNA is translated into a single large polyprotein,The virion RNA acting as mRNA,The virus exits by apoptosis of the cell,C,False,0.49245664,0.20528647,0.20528647,0.09697046
Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,The genome has been identified by the new method of deep sequencing,A new vector has been discovered,They infect a wide range of domestic animals and so contaminate meat,Knowledge of their replication as positive sense ssRNA viruses is now complete,A,False,0.15048696,0.28114668,0.043115236,0.5252511
Which virus infection was not first identified by clinical observation?,HIV,Rubella teratogenicity,Microcephaly and Zika,Hepatitis C,D,True,0.086812645,0.26740178,0.004322147,0.6414635
The particular quality of the U.S. health care system is its:,"Systematic, democratic approach","Fragmented, uncoordinated approach",The result of rationale decisions by informed legislators,a. and c. above,B,False,0.016176026,0.36816466,0.008658403,0.6070009
The three key intervention strategies according to Professor Shoptaw are:,"Behavioral intervention, treatment and structural interventions","Condoms, drug therapy and regulation of commercial sex establishments","Drug replacement therapy, community intervention and needle exchange","HIV testing, drug therapy and condom use",A,True,0.75541264,0.16855535,0.0057676467,0.070264325
Measles has been controlled in many countries by which of the following?,By hygiene,By MMR vaccine,By new molecular peptide vaccines,By humanised monoclonal antibodies to F protein,B,True,0.013905859,0.974876,0.0016608181,0.009557348
How can the spread of filoviruses be restricted?,New antivirals,New humanised monoclonal antibodies,Hygiene and social distancing,New vaccines,C,True,0.0014686018,0.010851581,0.9768282,0.010851581
Most pandemics have arisen from influenza viruses from which of the following animals?,Pigs,Wild birds,Bats,Humans,A,True,0.8079015,0.1802672,0.00030710676,0.011524095
PreP is an effective strategy for reducing the incidence of HIV in:,Women,Drug users,Pregnant women,a. and b. above,B,False,0.01702336,0.086451754,0.07629341,0.82023144
The replication of hepatitis B includes which of the following stages?,Movement of intact virus to the cellular cytoplasm for replication,Conversion of relaxed circular viral DNA in to covalently closed circular (CCC) DNA in the nucleus,Virions produced in the cytoplasm by cellular DNA polymerase,Oncogenic activity to transform liver cells.,C,False,0.31397042,0.58657396,0.020071456,0.07938415
How does the papilloma family of viruses cause cancer?,"Replicate in dividing cells and encodes three oncogenic proteins E5, E6 and E7",Integrates viral genome into cellular DNA,Has an oncogene able to initiate cancer,Acts as a co factor for a cellular oncogene,B,False,0.9231232,0.06687082,0.0020193239,0.00798658
The noroviruses typically cause which of the following?,Diarrhoea,Rash,Projectile vomiting and diarrhoea,Disease of the central nervous system,C,False,0.7210299,0.23408413,0.013206123,0.031679843
Deep nucleotide sequencing (NGS) is now cheap enough for general application. What will the technique mainly be useful for?,Speedy vaccine development,Identifying genetic variation,Giving details on virus excretion in symptomless carriers,Quickly identifying new viruses,D,False,0.123152584,0.8030557,0.00787288,0.065918826
Determinants of acquiring an HIV infection from an infected person per sexual act include:,Viral RNA level,Presence of other infections,Condom use,All of the above,D,True,0.0038049466,0.076424405,0.098130874,0.8216397
How is next generation sequencing (NGS) most often used?,To identify a newly discovered virus,To search for drug resistant mutants,To identify quasi species viruses,Cannot be used,D,False,0.36078176,0.52493435,0.023064006,0.09121991
Which of the following HPV viruses are known to cause cervical cancer?,Viruses of all 5 clades,"Types 14, 16, 18, 31, 45",None are oncogenic per se,Types 1-180,C,False,0.0016962935,0.9956995,0.00090796046,0.0016962935
Which member of the paramyxovirus family can cause very serious croup?,Measles,Meta pneumo virus,Hendra,Respiratory syncytial virus (RSV),B,False,0.0004241151,0.010938073,0.004023892,0.9846139
Which of the following is the cause of delay in HIV testing among the Latino population?,Stigma attached to the disease,Machismo,Drug abuse,All of the above,D,True,0.021309853,0.05792618,0.014646033,0.906118
