0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.0005189135,0.000295668,0.00045793958,0.9987275
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.013455148,0.21047392,0.04144477,0.7346262
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.012876784,0.22824647,0.13843848,0.6204382
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.008439407,0.062359255,0.16951004,0.75969124
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.009216754,0.04680654,0.003842115,0.9401345
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.07507893,0.20408566,0.23125936,0.48957607
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.04286175,0.358877,0.0065730615,0.59168816
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.0007488219,0.001159798,0.53019553,0.46789593
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.5515165,0.17905118,0.008914433,0.26051793
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.06725774,0.5631421,0.028037194,0.34156296
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.032956704,0.24351893,0.061571233,0.6619531
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,True,0.0016310132,0.015474623,0.02551334,0.957381
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.028425759,0.11242606,0.028425759,0.83072245
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.048417628,0.35776058,0.003974361,0.58984745
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.003357464,0.024808489,0.040902283,0.9309317
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.009286653,0.21136326,0.04161989,0.7377302
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.15644291,0.034907132,0.10752154,0.7011285
