0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_Tptvicuna_choiceD_probs
This is a hierarchy of effects or sequential model used to explain how advertising works:,ADD.,AIDA.,PESTLE.,SWOT.,B,False,0.33044916,0.20042756,0.37444797,0.09467527
 _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,The realm of understanding.,Personal selling.,Noise.,Feedback.,A,False,0.31812733,0.19295397,0.40848356,0.08043519
"In the history of marketing, when did the production period end?",In the late 1800s.,In the early 1900s.,In the 1920s.,After the end of the Second World War.,C,True,0.15581904,0.22671536,0.54386187,0.0736037
The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?,The level of tangibility associated with the type of product.,Performance-value.,Variations in supply and demand.,The way in which the service is delivered.,B,False,0.041043017,0.20843364,0.56658137,0.18394203
"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be",found guilty under the Sherman Antitrust Act and face prison time,found guilty under the Magnuson-Moss Warranty Act and face large fines,found guilty under the Adamson Act and face prison time and fines,found not guilty because retailers are allowed to set their own price levels,A,True,0.5246735,0.10331434,0.2808375,0.09117459
 The term 'marketing mix' describes:,A composite analysis of all environmental factors inside and outside the firm.,A series of business decisions that aid in selling a product.,The relationship between a firm's marketing strengths and its business weaknesses.,A blending of four strategic elements to satisfy specific target markets.,D,False,0.39418483,0.1450125,0.3478669,0.11293585
__________ have the potential to control the type and flow of information to the organization and the members of the DMU.,Gatekeepers.,Buyers.,Users.,Initiators.,A,False,0.29045388,0.25632465,0.4226079,0.030613614
 An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,Motive development.,An attitude.,A self-concept.,Product evaluation.,A,False,0.0941367,0.13696809,0.6955814,0.073313735
 Which of the following is not an element of the marketing mix?,Promotion.,Product.,Target market.,Pricing.,C,True,0.11803527,0.22051892,0.46683857,0.19460726
 Providing free samples of perfumes (scent) in magazines is an example of which of the following?,Classical conditioning.,Operant conditioning.,Social learning.,Behavioural learning.,A,False,0.12877116,0.16534543,0.57711226,0.12877116
Why is market segmentation carried out?,To break down large markets into smaller markets.,To provide an opportunity to surpass competitors.,"By grouping together customers with similar needs, it provides a commercially viable method of serving these customers.",To allow the achievement of greater market share.,C,True,0.1401819,0.096345514,0.71190244,0.051570043
" There are three main types of buying situations in an organization, referred to by Robinson, Faris, and Wind (1967) as _____________.",Repeat purchases.,Buyphases.,Buyclasses.,Tenders.,C,False,0.29611734,0.3802222,0.29611734,0.027543206
"Where the winning bidder obtains an unprofitable contract that he/she is duty bound to deliver because their bid price was set so low, this is known as:",Winner's curse.,Winner's price.,Winner's reward.,Loss-leader pricing.,A,False,0.30708542,0.14505687,0.50629824,0.04155949
This allows us to determine how the quantity of an offering relates to the price at which it is offered:,Price bundling.,Price elasticity.,Price inelasticity.,Price inflation.,B,False,0.12419595,0.2047645,0.63071907,0.04032052
 ________________ occur(s) where there is no prior history of exchange and no future exchanges are expected between a buyer and seller.,Relationship marketing.,Service mix.,Market exchanges.,Service failure.,C,False,0.44422993,0.127274,0.39203152,0.036464613
A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:,Search marketing.,Internet advertising.,Permission-based email marketing.,Social web marketing.,C,True,0.029654788,0.08061008,0.86664,0.023095172
" Collectively organizations that combine to enable offerings to reach end users quickly and efficiently constitute a marketing channel, are sometimes referred to as a:",Vehicle.,Courier.,Transportation.,Distribution channel.,D,False,0.06591351,0.1791715,0.5518871,0.20302792
 Which of the following are the three broad groups of organizational characteristics segmentation criteria?,"Organizational size, industry type, and gender.","Psychographics, purchaser, and behavioural criteria.","Organizational size, industry type, and geographical location.",None of the above.,C,False,0.3632123,0.28287002,0.2202994,0.13361834
Which of the following is the name for a coupon that is included in a package for later purchase?,a free-standing coupon,an instant-redemption coupon,a bounce-back coupon,a rebate coupon,C,False,0.3596728,0.2181526,0.3596728,0.062501766
" Advertising is employed as a defence, to retain customers, and to increase brand usage. Advertising is used to reinforce existing attitudes, not necessarily to drastically change them. This idea is based on:",Strong theory.,Weak theory.,ATR framework.,DRIP model.,B,False,0.23299645,0.1413195,0.55892944,0.0667546
"_____________ is an assessment of a company's mix of products, services, investments, and other assets in order to optimize the use of resources and to assess its suitability, level of risk, and expected financial return.",SWOT analysis.,Political analysis.,Portfolio analysis.,Competitive analysis.,C,False,0.5431366,0.19980879,0.22641301,0.03064167
" These goods are low-priced products that are bought frequently, are used just once, and incur low levels of purchase risk:",Non-durable.,Durable.,Generic.,Luxury.,A,True,0.6282369,0.15884316,0.20395866,0.008961318
Which of the following processes is not fundamental in explaining how consumers think and learn about products and brands?,Cognition.,Perception.,Learning.,Personality.,D,False,0.25771952,0.17712785,0.4814834,0.08366927
 ________________is used to influence the way an organization is perceived by various groups of stakeholders.,Direct marketing.,Public relations.,Sale promotion.,Advertising,B,True,0.17696416,0.37463313,0.37463313,0.07376964
Marketing that moves away from a transaction-based effort to a conversation (i.e. two-way dialogue) and can be described as a situation or mechanism through which marketers and a customer (e.g. stakeholders) interact usually in real-time is known as:,Digital marketing.,Interactive marketing.,Direct marketing.,Electronic marketing.,B,False,0.16147111,0.30166775,0.43892398,0.09793718
 The differentiation of a firm's products or services to promote environmental responsibility is referred to as:,Social branding.,Eco-branding.,Me-too branding.,Brand personality.,B,False,0.21318592,0.35148415,0.39828372,0.037046157
 Which of the following is the rate at which a market adopts an innovation?,Process of diffusion.,Process of differentiation.,Adoption process.,Adoption lifecycle.,A,False,0.30171722,0.18300074,0.43899596,0.07628606
Micromarketing is directed at potential buyers who,have excess disposable income,are between the ages of 8 and 14,share similar attitudes and behaviors,have opted out of customized marketing,C,True,0.07263423,0.1197536,0.78089154,0.02672064
