0,1,2,3,4,5,llama2_7B_alpacacode_alpacagpt4_52000_correct,llama2_7B_alpacacode_alpacagpt4_52000_choiceA_probs,llama2_7B_alpacacode_alpacagpt4_52000_choiceB_probs,llama2_7B_alpacacode_alpacagpt4_52000_choiceC_probs,llama2_7B_alpacacode_alpacagpt4_52000_choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,True,0.03188158,0.01706498,0.019337155,0.9317163
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.37460992,0.044740774,0.42448866,0.15616065
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,True,0.98602355,0.0010188558,0.0005453542,0.012412204
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,False,0.040842313,0.8203398,0.040842313,0.09797562
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,True,0.13544172,0.03424503,0.6070077,0.22330566
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.43573675,0.49375442,0.024582583,0.045926318
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.18926768,0.16702813,0.24302451,0.40067968
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,True,0.00062431296,0.00042908356,0.0027979764,0.9961486
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,False,0.29832152,0.491849,0.08547054,0.1243589
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.975299,0.008437989,0.003985824,0.012277203
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,True,0.09849111,0.82465595,0.0091611,0.067691885
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.99570173,0.0010288563,0.0008012741,0.002468098
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.58764035,0.3564219,0.033152398,0.02278529
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,True,0.06901297,0.088614404,0.10041328,0.74195933
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.46795636,0.020560568,0.043526724,0.46795636
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,False,0.9950073,0.0014959329,0.0013201562,0.0021765695
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,True,0.99190277,0.0014009143,0.0014912655,0.005205028
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.0040169987,0.98292714,0.0085039865,0.0045518554
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,False,0.040296316,0.0070024496,0.03556137,0.9171399
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,True,0.70936245,0.20323575,0.02142089,0.065980986
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,True,0.9869567,0.004033467,0.003141267,0.0058686594
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,False,0.7535302,0.101979226,0.101979226,0.042511266
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,False,0.486004,0.42889702,0.045205414,0.03989364
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,True,0.9281446,0.013239271,0.006253789,0.052362334
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,False,0.77335316,0.0019169509,0.0031605177,0.22156939
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,True,0.081679836,0.118843466,0.19593975,0.6035369
In the toggle mode a JK flip-flop has,"J = 0, K = 0.","J = 1, K = 1.","J = 0, K = 1.","J = 1, K = 0.",B,True,0.13589562,0.47432235,0.25388646,0.13589562
Electric drive is becoming more and more popular because,all of below.,it provide smooth and easy control.,it is cheaper in cost.,it is simple and reliable.,A,True,0.93353474,0.0038151431,0.0029712366,0.05967888
A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is,0.32.,0.67.,0.45.,0.27.,B,True,0.19491905,0.6803343,0.08125435,0.043492317
A Binary number system has how many digits.,0,1,2,10,C,False,0.21978645,0.7671301,0.008522045,0.0045615225
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is",LC.,RL.,RC.,Any of the above.,C,False,0.47495157,0.0389864,0.19798927,0.28807268
Advantages of open loop control system is/are,simple and economical.,accurate.,reliable.,all of the above.,A,False,0.003568298,0.0011584567,0.005883129,0.9893901
"The voltage induced in an inductor is represented as,",product of its inductance and current through it.,ratio of its inductance to current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,D,False,0.9997075,5.8277612e-05,5.474675e-05,0.0001795077
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",1,2,4,8,C,False,0.29736042,0.1803582,0.14046311,0.38181832
Induction heating takes place in,conducting but non-magnetic materials.,conducting materials which may be either magnetic or non-magentic materials.,insulating materials.,conducting and magnetic materials.,B,False,0.5504914,0.42872313,0.0061154068,0.014670098
In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch,10,100,50,1,A,True,0.51331335,0.39976883,0.032815024,0.054102827
Magnetic flux has the unit of,Newton,Ampere turn,Weber,Tesla,C,False,0.0046072295,0.99488455,0.00048559843,2.271174e-05
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",Reciprocity theorem,Thevinin's theorem,Norton's theorem,Compensation theorem,A,True,0.99716574,0.0024717269,0.00026051808,0.00010202035
A D-flip-flop is said to be transparent when,the output is LOW,the output is HIGH,the output follows clock,the output follow input,D,True,0.23321445,0.06681706,0.26426658,0.43570194
A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be,500 Hz.,250 Hz.,400 Hz.,625 Hz.,B,True,0.11727361,0.46382612,0.24826825,0.1706321
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A,False,0.15253375,0.5323951,0.25148565,0.063585535
Which of the following memories uses one transistor and one capacitor as basic memory unit,SRAM,DRAM,Both SRAM and DRAM,,B,True,0.089862816,0.6640014,0.11538614,0.13074963
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room?",2,4,5,6,A,False,0.038642097,0.4154417,0.32354632,0.22236992
"The output of the system has an effect upon the input quantity, then the system is a",open loop control system.,closed loop control system.,either A or B.,none of the above.,B,True,0.046723943,0.9384755,0.011813663,0.002986962
"A sinusoidal signal is analog signal, because",it can have a number of values between the negative and positive peaks,it is negative for one half cycle,it is positive for one half cycle,it has positive as well as negative values,A,True,0.7210576,0.0020253023,0.01165481,0.26526228
FM stands for,frequent modulation.,frequency modulation.,frequency moderator.,frequent moderator.,B,True,0.0011693547,0.99869764,7.4754345e-05,5.8218742e-05
Stack is also known as,FIFO memory,Flash memory,LIFO memory,LILO memory,C,False,0.9996587,0.0002611694,4.0051622e-05,4.0051622e-05
"In Ward-Leonard system, the lower limit of the speed imposed by",Field resistance.,Armature resistance.,Residual magnetism of the generator.,None of above.,C,False,0.17669891,0.050625082,0.15593623,0.61673975
Colpitts oscillator is also called as,Tank circuit oscillator,LC oscillator,Resonant circuit oscillator,All of the above,D,True,0.09363638,0.011183271,0.006782997,0.8883973
An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be,1500 A.,6000 A.,2121.32 A.,4242.64 A.,C,False,0.3908305,0.23705068,0.2091965,0.16292238
Both the ALU and control section of CPU employ which special purpose storage location?,Buffers,Decoders,Accumulators,Registers,C,False,0.9959706,0.0011661616,6.579034e-05,0.0027974765
Systematic errors are,environmental errors.,observational errors.,instrument errors.,all of the above.,D,True,0.026246237,0.049034424,0.055563282,0.869156
Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C,True,0.0165348,0.030891072,0.6204638,0.33211035
A diode (p-n junction) when reverse biased act as,On Switch,Zener diode,Capacitor,Off Switch,D,False,0.87246984,0.05577513,0.015979843,0.05577513
Piezoelectric effect is carried out in,composite filter.,crystal filter.,m derived.,constant k prototype.,B,True,0.0052161925,0.9940303,0.00062298536,0.00013058483
The resistivity of the conductor depends on,area of the conductor.,length of the conductor.,type of material.,none of these.,C,True,0.04740989,0.18750975,0.5775707,0.18750975
The smallest change in measured variable to which instrument will respond is,resolution.,accuracy.,precision.,sensitivity.,A,True,0.9999287,4.006244e-05,2.42991e-05,6.9618086e-06
"In electronic communications, ""AM"" stands for",Amp Modification,Amplitude Method,Amplitude Modulation,Ampere Method,C,True,0.0013031709,0.015875872,0.98220545,0.0006155744
Which system is also known as automatic control system?,Open loop control system,Closed loop control system,Either A or B,Nether A nor B,B,True,0.015886633,0.9828712,0.0010155984,0.00022661065
A combinational PLD with a fixed AND array and a programmable OR array is called a,PLD,PROM,PAL,PLA,B,False,0.99664754,0.0007077936,0.0013223324,0.0013223324
A null type instrument as compared to a deflected type instrument has,a lower sensitivity.,a faster response.,a higher accuracy.,all of the above.,C,False,0.015201495,0.002993352,0.04132195,0.9404832
"Length of the cable is doubled, its capacitance C will be",one-fourth.,one-half.,doubled.,unchanged.,C,True,0.007968607,0.06672034,0.9210458,0.004265288
Electrons in p-type material of a semi-conductor are called as,either minority carriers or majority carriers,minority carriers,majority carriers,valance carriers,B,False,0.49679995,0.49679995,0.0037931143,0.0026069668
________ is the most detrimental impurity in the magnetic materials,Carbon.,Sulphur.,Oxygen.,Nitrogen.,A,True,0.9840289,0.015905345,4.467484e-05,2.1102902e-05
Voltage controlled oscillators are used commonly in,Pulse Modulators Frequency Modulators Phase Clocked loops,Frequency Modulators,Phase Clocked loops,All the above,D,True,0.13798012,0.12176702,0.039531965,0.70072085
Low frequency supply is necessary for direct core type induction furnaces because,With normal frequeny supply the electromagnetic forces causes severe stirring action in the molten metal.,Magnetic coupling between the primary and secondary circuit is poor.,Both A and B.,None of the above.,C,True,0.08924751,0.037203897,0.6594549,0.21409366
"The moving coil-meters, damping is provided by",the aluminium frame of the coil.,the coil spring attached to the moving.,eddy current disk.,damping vane in the airtight chamber.,A,False,0.03277762,0.03277762,0.0890988,0.845346
Which of the following is the analogous quantity for mass element in force-voltage analogy?,Resistance.,Inductance.,Capacitance.,All of the above.,B,False,0.21805988,0.055134173,0.055134173,0.67167175
A latch is ________ sensitive,both level and edge,edge,level,,C,False,0.8090183,0.1405863,0.031369045,0.019026287
What is used to protect the SCR from over current ?,CB and fuse.,Heat sink.,Snubber circuit.,Voltage clamping device.,A,False,0.12938263,0.07847453,0.74454564,0.047597207
The errors mainly caused by human mistakes are,gross error.,instrumental error.,observational error.,systematic error.,A,True,0.95078665,0.009321184,0.0030261455,0.036865998
Electrical analogous quantity for dash-pot in force-current analogy is,resistance.,conductance.,inductance.,capacitance.,B,False,0.99855584,0.00080357085,0.00037958001,0.00026088126
Which lamp has the best Colour Rendering Index (CRI)?,LED,Fluorescent,Incandescent,High pressure sodium vapour,C,False,0.9937495,0.0004850444,0.004601973,0.001163561
Power dissipation in ideal inductor is,Maximum,Minimum,Zero,A finite value,C,False,0.028253965,0.019418648,0.1266255,0.8257019
For intermittent work which of the following furnace is suitable?,Core less furnace.,Indirect arc furnace.,Either of above.,Nither of above.,B,True,0.15331379,0.41675007,0.3245653,0.10537092
In electrical resistance welding material of electrode should have,higher electrical conductivities.,higher thermal conductivities.,sufficient strength to sustain high pressure at elevated temperatures.,all of above.,D,True,0.0010157975,0.0018977595,0.014022651,0.98306376
Which of the following are the passive elements?,Resistor,Bulb,Both,None of these.,C,False,0.7533382,0.025777815,0.13091056,0.08997342
The main advantage of dielectric heating is that,heating occurs in the material itself.,heating occurs due to high frequency.,it can be used for drying the explosives.,None of the above.,A,False,0.45499223,0.51557374,0.009443062,0.019990964
Materials used in heat sink should have,high thermal conductivity.,large surface area.,high melting point.,All of these.,D,True,0.14465897,0.01727705,0.0056090374,0.8324549
Conductor is static and the field is varying then emf will be induced. This principle is called,virtually induced emf.,dynamically induced emf.,static induced emf.,none of these,C,False,0.6906968,0.038966447,0.25409314,0.016243631
"Four identical alternators each are rated for 20 MVA, 11 KV having a subtransient reactance of 16% are working in parallel. The short circuit level at the busbar is",500 MVA,400 MVA,125 MVA,100 MVA,A,False,0.06525982,0.22777916,0.33141673,0.37554434
"According to the Bohr model, an electron gains or losses energy only by",moving faster or slower in an allowed orbit.,jumping from one allowed orbit to another.,being completely removed from an atom.,jumping from one atom to another atom.,B,False,0.99979967,0.00010888695,6.204191e-05,2.9306526e-05
A three-state buffer has the following output states,"1, 0, float","High, Low, Float",Both A and B,"Set, Reset, Halt",C,False,0.56730634,0.23648846,0.1434375,0.052767713
"By using which of the following elements, mechanical translational systems are obtained?",mass element,spring element,dash-pot,all of the above,D,True,0.02785896,0.00904448,0.040534545,0.922562
"Four capacitors each of 40 µF are connected in parallel, the equivalent capacitance of the system will be",160 µF,10 µF,40 µF,5 µF,A,True,0.6967018,0.016384857,0.2563023,0.030610943
"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",R Ω,2R Ω,4R Ω,8R Ω,C,False,0.26727688,0.64116395,0.05963754,0.031921674
A single phase full bridge inverter can operated in load commutation mode in case load consist of,RL.,RLC underdamped.,RLC overdamped.,RLC critically damped.,B,False,0.2267152,0.13750973,0.47995612,0.15581894
A microprocessor is ALU,and control unit on a single chip.,and memory on a single chip.,register unit and I/O device on a single chip.,register unit and control unit on a single chip.,D,False,0.9374337,0.0005875148,0.002050628,0.05992813
"To obtain a high value of capacitance, the permittivity of dielectric medium should be",low,zero,high,unity,C,True,0.013390931,0.028348602,0.9387768,0.019483691
Deflection method direct measurements are most widely used as these are,least time consuming.,most simple.,most simple and least time consuming.,most accurate.,C,True,0.091550715,0.10374055,0.76654476,0.038164016
Purely mechanical instrument cannot be used for dynamic measurements because they have,high inertia.,higher response time.,large time constant.,all of the above.,D,True,0.0016876297,0.0010235992,0.006674705,0.99061406
Advantages of higher transmission voltage is/are,Power transfer capability of the transmission line is increased,Transmission line losses are reduced,Area of cross section and volume of the conductor is reduced,all of the above,D,True,0.0013221286,0.0004863839,0.0016976467,0.9964939
Under over voltage condition impedance offered by the voltage clamping device is,high.,low.,moderate.,infinity.,B,False,0.6893344,0.19749762,0.05658401,0.05658401
A long wire composed of a smooth round conductor runs above and parallel to the ground (assumed to be a large conducting plane). A high voltage exists between the conductor and the ground. The maximum electric stress occurs at,lower surface of the conductor.,upper surface of the conductor.,the ground surface.,midway between the conductor and ground.,A,True,0.49184924,0.04574911,0.12435897,0.33804274
In a dc machine 6 pole wave winding is used. The number of parallel paths are?,6,4,2,1,C,False,0.99917465,0.0004876924,0.00015833053,0.00017941202
Which of the following is a digital device,Regulator of a fan,Microphone,Resistance of a material,Light switch,D,False,0.1411432,0.43475166,0.040438205,0.383667
Instantaneous power in inductor is proportional to the,product of the instantaneous current and rate of change of current.,square of instantaneous current.,square of the rate of change of current.,temperature of the inductor.,A,True,0.99991786,1.7777407e-05,2.4298835e-05,4.0062005e-05
Which of the following is a variable displacement transducer?,tachometer,potentiometer,synchros,none of the above,B,False,0.030104807,0.020690711,0.41558406,0.5336205
"Five capacitors each of 5 µF are connected in series, the equivalent capacitance of the system will be",5 µF,25 µF,10 µF,1 µF,D,False,0.15834276,0.709643,0.066007085,0.066007085
Susceptibility is negative for,non magnetic substances.,diamagnetic substances.,ferromagnetic substances.,none of above.,B,True,0.07745532,0.83272314,0.05323421,0.0365873
One of the following is the primary function of an oscillator,produces sinusoidal oscillations,generates non sinusoidal waveforms,generates sustained oscillations at a constant amplitude and specific frequency,none of the above,C,False,0.99912924,0.00026103106,0.00017940385,0.00043036748
The metal surfaces for electrical resistance welding must be,rough.,clean.,moistened,coloured,B,True,0.009674341,0.98680973,0.0031407992,0.00037511496
The latching current of SCR is 20 mA. Its holding current will be,23 mA.,40 mA.,10 mA.,60 mA.,C,False,0.45169547,0.21336582,0.18829468,0.14664404
