0,1,2,3,4,5,llama_7B_alpacacode_alpaca_52000_correct,llama_7B_alpacacode_alpaca_52000_choiceA_probs,llama_7B_alpacacode_alpaca_52000_choiceB_probs,llama_7B_alpacacode_alpaca_52000_choiceC_probs,llama_7B_alpacacode_alpaca_52000_choiceD_probs
The Barkhausen criterion for an oscillator,Loop gain should be unity,Loop gain should be less than unity,The phase of a feedback signal with respect to input should be 0° or 360°,Both A and C,D,True,0.12359357,0.05152146,0.018953687,0.80593127
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,It loads the circuit moderately.,It loads the circuit to maximum extent.,It uses centre zero galvanometer instead of voltmeter.,It does not load the circuit at all.,D,False,0.5832489,0.078934155,0.31219065,0.02562617
Which of these sets of logic gates are designated as universal gates?,"NOR, NAND.","XOR, NOR, NAND.","OR, NOT, AND.","NOR, NAND, XNOR.",A,False,0.14708857,0.8464363,0.00077185,0.005703243
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",30° to 150°.,30° to 180°.,60° to 120°.,60° to 180°.,A,True,0.39923915,0.31092778,0.04768232,0.24215078
A box which tells the effect of inputs on control sub system is known as,Data Box.,Logical box.,Decision box.,State box.,C,False,0.7017694,0.027210552,0.012853355,0.25816655
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,same as that produced by one plate.,double the field produced by one plate.,dependent on coordinates of field points.,zero.,D,False,0.48077282,0.48077282,0.014518081,0.023936268
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,Low.,Very low.,High.,Almost zero.,C,False,0.09064094,0.04281575,0.0065660076,0.8599773
The following are the necessary requirements of an oscillator,Amplitude stability,Frequency stability,Power stability,Both A and B,D,True,0.044953533,0.03089608,0.021234546,0.90291584
The normal voltage used in directional heating is,1.5 KV.,15 KV.,33 KV.,66 KV.,A,True,0.925334,0.046069663,0.016948083,0.011648236
LC oscillators are used for produce a waveform with frequency ranging from,1MHz to 500 MHz,100 KHz to 500 MHz,1 KHz to 1 MHz,1MHz to 100 GHz,A,True,0.8438707,0.14664274,0.0064430325,0.003043473
A working diode must have,High resistance when forward or reverse biased,"Low resistance when forward biased, while high resistance when reverse bias","High resistance when forward biased, while low resistance when reverse bias",Low resistance when forward or reverse biased,B,False,0.9603125,0.032860085,0.0023803767,0.004447129
What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,D,False,0.66478443,0.042498246,0.24456052,0.048156824
How many bits are required to store one BCD digit ?,1,2,3,4,D,False,0.33762398,0.55664784,0.008997374,0.09673089
Commutator in DC generator is used for,collecting of current,reduce losses,increase efficiency,convert AC armature current in to DC,D,False,0.78154993,0.10577128,0.08237475,0.03030398
1 F is theoretically equal to,1 ohm of resistance,ratio of 1 V to 1 C,ratio of 1 C to 1 V,none of these,C,False,0.41807696,0.044064987,0.11978106,0.41807696
How many entries will be in the truth table of a 3 input NAND gate ?,3,6,8,9,C,False,0.16962935,0.6708971,0.042889018,0.11658444
In decimal number system what is MSD,First digit from left to right,First digit from right to left,Middle digit,Mean of all digits,A,True,0.996488,0.0027989296,0.00033428447,0.00037879395
"In Digital Logic Designs, GAL is abbreviated as",General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D,False,0.41331512,0.22123165,0.04356309,0.32189015
Inintel 8085A microprocessor ALE signal is made high to,Enable the data bus to be used as low order address bus,To latch data D0-D7 from data bus,To disable data bus,To achieve all the functions listed above,A,True,0.95776623,0.013661801,0.00304836,0.025523605
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,A,False,0.271002,0.5737112,0.07764337,0.07764337
The concept of V/f control of inverters driving induction motors resuls in,constant torque operation,speed reversal,reduced magnetic loss,hormonic elimination,A,True,0.89894897,0.030760342,0.05746788,0.012822818
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",0.015 joule.,0.15 joule.,0.015 joule.,1.15 joule.,B,True,0.29902342,0.4350765,0.12465151,0.14124866
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",protect the insulation.,avoid effect of saturation.,improve the capabilities of the inverter.,protect thyristor from dV / dt.,B,False,0.43598574,0.23336636,0.23336636,0.097281575
Which of the following windings are necessary in case of all dc machines?,closed winding,lap winding,wave winding,open type winding,A,True,0.9827471,0.0075033666,0.0031278688,0.006621698
Relaxation Voltage controlled oscillators are used to generate,Sinusoidal wave,Triangular wave,Sawtooth wave,Both B and C,D,True,0.031921674,0.26727688,0.05963754,0.64116395
The supply frequency usually employed for high frequency eddy current heating is,1 KHz.,5 KHz.,10 MHz.,10 KHz to 400 KHz.,D,True,0.023593953,0.07267449,0.018374989,0.88535655
