0,1,2,3,4,5,llama_7B_alpaca_20000/ckp30k_correct,llama_7B_alpaca_20000/ckp30k_choiceA_probs,llama_7B_alpaca_20000/ckp30k_choiceB_probs,llama_7B_alpaca_20000/ckp30k_choiceC_probs,llama_7B_alpaca_20000/ckp30k_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.019869111,0.015474079,0.0073094377,0.9573474
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.31015888,0.3982519,0.21316889,0.078420445
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.0826838,0.050150264,0.0826838,0.7844821
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.013778377,0.07928909,0.054494537,0.85243803
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.055689067,0.07150618,0.10404087,0.76876384
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.08856472,0.05371722,0.017439427,0.8402787
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.5518871,0.06591351,0.1791715,0.20302792
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.038432352,0.015050325,0.07180108,0.8747163
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.156352,0.021159941,0.12176706,0.700721
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.05568954,0.029808464,0.04337106,0.871131
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.3069538,0.21096605,0.08794373,0.39413646
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,True,0.098591864,0.23650959,0.021998817,0.6428997
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.16861734,0.14880428,0.015683856,0.6668945
