0,1,2,3,4,5,llama2_chat_7B_alpacacode_alpaca_combine_52k_52000_correct,llama2_chat_7B_alpacacode_alpaca_combine_52k_52000_choiceA_probs,llama2_chat_7B_alpacacode_alpaca_combine_52k_52000_choiceB_probs,llama2_chat_7B_alpacacode_alpaca_combine_52k_52000_choiceC_probs,llama2_chat_7B_alpacacode_alpaca_combine_52k_52000_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.029850328,0.6793903,0.283212,0.0075473445
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.044064093,0.056579415,0.885051,0.014305517
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.53564876,0.25302255,0.19705418,0.014274556
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.69972736,0.29168975,0.0053424845,0.0032403804
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,True,0.15616067,0.37460995,0.4244887,0.044740777
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.9974542,0.0019255397,0.00042964597,0.00019065425
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.102635495,0.6692675,0.21727933,0.010817701
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.82691175,0.14369571,0.028295364,0.0010971304
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.17002434,0.6724593,0.15004596,0.007470348
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.049441338,0.7733927,0.17256723,0.004598761
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.26160172,0.17979605,0.55381083,0.0047914027
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.6282514,0.14018184,0.20396335,0.02760344
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.12675534,0.30407026,0.5013271,0.067847244
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.029992843,0.06349485,0.029992843,0.8765194
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.7012983,0.20092534,0.094910406,0.0028660458
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.019501533,0.14409792,0.82922626,0.007174213
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.07888024,0.8480425,0.069611564,0.0034657558
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.6700237,0.27930743,0.048536353,0.0021325387
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.09460751,0.6990602,0.20028411,0.006048056
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,True,0.011682615,0.81901455,0.16127352,0.008029336
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,True,0.59745026,0.3197921,0.0808561,0.0019015532
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.028329758,0.7306341,0.23720215,0.003834016
