0,1,2,3,4,5,llama2_7B_ds_sharegpt_qy_vic_52000/epoch1_correct,llama2_7B_ds_sharegpt_qy_vic_52000/epoch1_choiceA_probs,llama2_7B_ds_sharegpt_qy_vic_52000/epoch1_choiceB_probs,llama2_7B_ds_sharegpt_qy_vic_52000/epoch1_choiceC_probs,llama2_7B_ds_sharegpt_qy_vic_52000/epoch1_choiceD_probs
Which common public relations tactic involves sending journalists on visits to appropriate locations?,Media release,Media tour,Press room,Promotional days/weeks,B,True,0.00023020078,0.9984426,0.0010316883,0.00029558365
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?",Quickly investigate to make certain your product is definitely the cause of the illness.,Stop all sales of the product throughout the nation and issue a recall for that product.,"Stop sales of the product in the Albany, New York, market and issue a recall for that product.","Issue a press release to the Albany, New York, market explaining how to treat the symptoms.",B,True,0.08691083,0.72769547,0.09848287,0.08691083
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,employee relations,public issues,B,True,0.0035380055,0.9809909,0.012348853,0.0031222792
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,True,0.048064575,0.5855464,0.27659252,0.089796446
________ advertising campaigns are focused on gathering support for a particular message or cause.,Product-oriented,Person-oriented,Idea-oriented,Message-oriented,C,True,0.0072992314,0.0064415494,0.7445419,0.24171735
Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,to interpret trends for management,to interpret the organization's business plan,to consider the role public relations might play,B,False,0.008152437,0.041401494,0.008152437,0.94229364
Which of these definitions best describes the 'spiral of silence'?,When victims of abuse remain silent about the abuse,When people hide their opinions if they do not agree with the majority,When people hide their opinions if they are in disagreement with their close peers or family members,When public relations uses opinion poll results to generate support for a particular issue,A,False,0.0010048545,0.9724734,0.015718568,0.010803203
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?",Research and evaluation,Strategy and evaluation,Strategy and implementation,Objectives and implementation,A,False,0.041742723,0.032509264,0.3495075,0.5762405
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B,True,0.010875675,0.9789971,0.0065964307,0.003530815
Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?,ingratiation,downplaying,distancing,nonexistence,B,False,0.14658469,0.21327947,0.39845848,0.24167728
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,It hasn't,Doubled,Tripled,Quadrupled,C,False,0.040352304,0.4915917,0.26313007,0.2049259
Which statement is NOT true of both issues management and crisis management?,They both require research monitoring.,They both deal with acute risks.,New organizational practices are developed as a result of each.,Both have the potential to damage an organisation's reputation.,B,False,0.2122445,0.16529618,0.27252734,0.34993201
In what year did the BBC start broadcasting radio?,1917,1922,1925,1927,B,True,0.048064575,0.5855464,0.27659252,0.089796446
How many regional newspapers are there in the UK?,270,600,"2,800","5,200",C,True,0.07200066,0.092450686,0.6831233,0.15242541
"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Enabling,Functional,Normative,Diffused,C,False,0.10326296,0.40841293,0.17025183,0.31807232
Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?,Audiences are more vulnerable and passive than ever before.,"Television viewing, in particular, creates increased activity in the right hemisphere of the brain.",Active receivers are not uniformly affected by mass communication messages.,Technology has led to increasingly passive recipients at the ends of message transmission systems.,C,True,0.02662258,0.03418407,0.6866054,0.252588
Which of the following entities cannot sue for libel?,A politician,A house of worship,A government institution,A publicly-traded company,C,True,0.16529618,0.27252734,0.34993201,0.2122445
Which author emphasised strategy as achieving competitive advantage for an organization?,Steyn (2003),Gregory (2006),Cutlip et al (2006),Henry (2006),D,True,0.063375436,0.038439143,0.023314519,0.8748709
Which statement is true about focus group research?,The participants should be selected at random.,It is an example of a formal research tool for practitioners.,The information can be generalized to describe a larger population.,The findings generate qualitative data that can be used to develop surveys.,D,False,0.11538358,0.35540646,0.21556492,0.3136451
You are the community relations director for a public water utility that has been targeted by a group of activists opposed to adding fluoride to drinking water. The activists are waging an intense internet campaign against the practice. Your utility has overwhelming evidence of the health benefits to fluoridated water. The manager of the utility asks you to initiate a blog to get the health message out. What is the most appropriate course of action?,"Use utility employees to write the blog, posing as dentists and physicians.",Recruit a group of volunteer dentists and physicians to write the blog under their own identities with no reference to the utility.,"Write the blog yourself, identifying yourself as an employee of the utility, and quote the scientific opinions of a variety of sources.","Compensate a group of dentists and physicians to write the blog, identifying the utility as the sponsor of the blog but without disclosing the compensation.",C,True,0.025981927,0.02292897,0.86040324,0.09068583
