0,1,2,3,4,5,llama_7B_alpaca_20000_dp_correct,llama_7B_alpaca_20000_dp_choiceA_probs,llama_7B_alpaca_20000_dp_choiceB_probs,llama_7B_alpaca_20000_dp_choiceC_probs,llama_7B_alpaca_20000_dp_choiceD_probs
This is a hierarchy of effects or sequential model used to explain how advertising works:,ADD.,AIDA.,PESTLE.,SWOT.,B,False,0.85035074,0.089626305,0.022661079,0.037361804
 _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,The realm of understanding.,Personal selling.,Noise.,Feedback.,A,True,0.8265282,0.036315113,0.010404455,0.12675221
"In the history of marketing, when did the production period end?",In the late 1800s.,In the early 1900s.,In the 1920s.,After the end of the Second World War.,C,False,0.31894517,0.31894517,0.043164533,0.31894517
The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?,The level of tangibility associated with the type of product.,Performance-value.,Variations in supply and demand.,The way in which the service is delivered.,B,False,0.07560434,0.11000368,0.0970779,0.71731406
"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be",found guilty under the Sherman Antitrust Act and face prison time,found guilty under the Magnuson-Moss Warranty Act and face large fines,found guilty under the Adamson Act and face prison time and fines,found not guilty because retailers are allowed to set their own price levels,A,True,0.81640214,0.06701437,0.040646266,0.075937234
 The term 'marketing mix' describes:,A composite analysis of all environmental factors inside and outside the firm.,A series of business decisions that aid in selling a product.,The relationship between a firm's marketing strengths and its business weaknesses.,A blending of four strategic elements to satisfy specific target markets.,D,True,0.32303372,0.17290749,0.034047503,0.47001126
__________ have the potential to control the type and flow of information to the organization and the members of the DMU.,Gatekeepers.,Buyers.,Users.,Initiators.,A,True,0.8789977,0.05619244,0.00861739,0.05619244
 An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,Motive development.,An attitude.,A self-concept.,Product evaluation.,A,False,0.3233309,0.03861637,0.10497018,0.53308254
 Which of the following is not an element of the marketing mix?,Promotion.,Product.,Target market.,Pricing.,C,False,0.096964754,0.024516528,0.066642836,0.81187594
 Providing free samples of perfumes (scent) in magazines is an example of which of the following?,Classical conditioning.,Operant conditioning.,Social learning.,Behavioural learning.,A,False,0.21752031,0.14949937,0.31649017,0.31649017
