0,1,2,3,4,5,dp_llama_7B_sharegpt_xc_20000_correct,dp_llama_7B_sharegpt_xc_20000_choiceA_probs,dp_llama_7B_sharegpt_xc_20000_choiceB_probs,dp_llama_7B_sharegpt_xc_20000_choiceC_probs,dp_llama_7B_sharegpt_xc_20000_choiceD_probs
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?
",Meat,Confectionary,Fruits and vegetables,Potatoes,C,True,0.030303981,0.10577129,0.78155,0.08237476
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?
",If the incidence rate of the disease falls.,If survival time with the disease increases.,If recovery of the disease is faster.,If the population in which the disease is measured increases.,B,False,0.095838964,0.2952048,0.37905046,0.22990572
"Which of the following statements is correct?
",The flavonoid class comprises flavonoids and isoflavonoids.,The digestibility and bioavailability of isoflavones in soya food products are not changed by processing.,ß-Carotene and lycopene can both act as provitamin A.,Carotenoids and flavonoids both belong to the polyphenol class.,A,False,0.1948313,0.41245788,0.17193802,0.2207728
"What are the main causes of the obesity epidemic?
",Increased energy quantity/density and a more sedentary life-style,Decreased leisure time activity,Changes in genetic profiles,None of the options given is correct,A,True,0.44229883,0.2682678,0.16271265,0.12672074
"Which vitamin is a major lipid-soluble antioxidant in cell membranes?
",Vitamin A,Vitamin D,Vitamin E,Vitamin K,C,True,0.008553393,0.055775132,0.8724699,0.06320151
"Which of the following contributes to vitamin B12 deficiency in older adults?
",Reduced secretion of intrinsic factor,Atrophic gastritis,Helicobacter pylori infection,All of the above,D,True,0.0064511304,0.061206624,0.27430904,0.6580332
"Obesity increases the risk of endometrial cancer. Which hormone is thought to mediate this effect?
",Testosterone,Oestrogen,Insulin-like growth factor-1,Thyroxine,B,True,0.06039773,0.4462822,0.4462822,0.0470378
"Which vitamin is required for calcium absorption from the small intestine?
",Vitamin A,Vitamin D,Vitamin E,Vitamin K,B,False,0.0071725426,0.20961243,0.39160755,0.39160755
"Which of the following statements about the metabolic demand for amino acids is correct?
","The metabolic demand is supplied only from the diet,",The metabolic demand is to maintain protein turnover.,The metabolic demand involves consumption of amino-acids by a number of irreversible pathways and these are either obligatory or adaptive.,The metabolic demand is a fixed amount,C,False,0.06701305,0.49516317,0.34032035,0.09750341
"Which of the following statements about human amino acid requirements in human nutrition is correct?
",The amino acid requirements determined for adults is assumed to be the requirement pattern for all ages.,The amino acid requirements determined for adults is assumed to be the requirements for maintenance for all ages.,The amino acid pattern of breast milk is assumed to be the requirement pattern for all children.,The amino acid pattern of human tissue protein is assumed to be the requirement patterns for infants and young children.,B,True,0.16298708,0.4430448,0.18468855,0.20927955
"A food additive is considered to be safe when:
",No evidence of human toxicity has been observed over the period of its use,Estimated Daily Intake (EDI) from its presence in food is less than its ADI,Its toxic effects are observed only at doses 100x the EDI,Its benefits outweigh its risks,B,False,0.23054817,0.20345806,0.3354456,0.23054817
"Which of the following statements is true:
",Childhood stunting before 24 months of age affects short term cognitive performance,Childhood stunting before 24 months of age affects long term cognitive performance,Neither of the statements are correct,Both of the statements are correct,D,False,0.10408535,0.2829333,0.36329356,0.24968778
"What role do women play in food security?
",Their main role is preparing meals.,"They play a central role as producers of food, managers of natural resources, income earners and caretakers of household nutrition.","They weed the fields, but never plough or plant them, as only men are strong enough for those activities.",Their efforts focus mainly on vegetable gardens and chickens; men are involved with cereal crops and larger livestock.,B,True,0.034876212,0.8994694,0.034876212,0.03077815
"The following amino acids are all essential components of the diet:
","leucine, methionine and threonine","proline, tyrosine and serine","valine, glycine and arginine","leucine, cysteine and glycine",A,True,0.62061495,0.13847792,0.083991095,0.15691604
"Which single statement about fat digestion and absorption is correct?
",Absorption of fatty acids in the intestine occurs mainly through FABP and FAT/CD36 transport proteins in the enterocytes of the distal duodenum,"After absorption, medium chain triglycerides (MCT) enter the lymphatic system, whereas long chain triglycerides enter the portal blood system.",The products of partial digestion of triglycerides (triacylglycerols) can form mixed micelles with pancreatic cholesterol and phospholipids and this increases absorption,Triglycerides (triacylglycerols) must be emulsified and digested before the fatty acids can be transported,D,False,0.16592051,0.35125372,0.24141292,0.24141292
"Which fatty acids found in plasma phospholipids are associated with reduced cardiovascular mortality?
",Palmitic acid (16:0),Long chain (=20 carbons) saturated and n-3 polyunsaturated fatty acids,á-linolenic acid (18:3),Stearic acid (18:0),B,True,0.045204427,0.70711625,0.108439796,0.13923945
"Crohn's disease:
",Always affects the colon,May lead to intestinal obstruction,Is best treated surgically,Requires a gluten free diet,B,False,0.35686332,0.21644855,0.14876276,0.27792543
"Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe
",Women over age 80 with osteopenia have above average bone mineral density for their age,Fewer than 10% of women over age 50 have osteopenia,Fewer than 50% of women over age 80 have osteopenia or osteoporosis,Osteoporosis is defined as a bone density lower than 2.5 standard deviations below the average for age-matched controls.,A,False,0.05022691,0.15470977,0.25507328,0.5399901
"Which country has undergone the most rapid nutrition transition in the last two decades?
",China,Sweden,Britain,India,A,False,0.03466367,0.09422562,0.32887974,0.542231
"Acute binge drinking is associated with?
",Happy heart syndrome,Home heart syndrome,Beach heart syndrome,Holiday heart syndrome,D,False,0.11979867,0.3690059,0.28738207,0.22381338
