0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Tptvicuna_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.074505255,0.039879788,0.7068862,0.17872882
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.21752031,0.14949937,0.31649017,0.31649017
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.28168935,0.11742559,0.31919584,0.28168935
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.13847792,0.083991095,0.15691604,0.62061495
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.04462627,0.79101956,0.107052855,0.057301268
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.03929307,0.050453298,0.7892224,0.12103118
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.0021364042,0.00094802363,0.9766459,0.020269638
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.062421363,0.048613805,0.21787195,0.67109287
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.8494189,0.047920935,0.069724545,0.032935545
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.48280114,0.13832484,0.20126146,0.17761262
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.33841923,0.096958734,0.18114276,0.38347924
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.11667849,0.11667849,0.40724793,0.35939503
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.47028974,0.0817241,0.36626202,0.0817241
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.14476982,0.16404569,0.18588813,0.5052963
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.618447,0.121779434,0.13799419,0.121779434
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.47305864,0.32512814,0.082205266,0.119607955
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.72309685,0.067258485,0.067258485,0.14238621
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.32205626,0.1723843,0.28421366,0.22134583
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.17584744,0.10665687,0.17584744,0.54164827
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.92315996,0.013168169,0.035794795,0.027877016
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,True,0.06972721,0.16726689,0.1014525,0.6615534
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.9182531,0.011559101,0.04571713,0.024470616
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.15097788,0.08081263,0.17108035,0.5971291
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.19090936,0.0901792,0.3147563,0.4041551
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,True,0.07375701,0.0506924,0.33055598,0.54499465
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.19473653,0.19473653,0.52934873,0.08117826
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.016888004,0.009039497,0.92205375,0.052018713
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.007841475,0.01140928,0.9063513,0.07439785
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.3287146,0.15527378,0.2900896,0.22592203
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.45755318,0.03755825,0.14854577,0.35634276
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,True,0.07835826,0.069150925,0.27349722,0.5789936
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.1356438,0.17417008,0.15370457,0.5364816
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.50740993,0.088174626,0.23968348,0.16473189
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.19460726,0.11803527,0.46683857,0.22051892
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.008286298,0.005025894,0.9577658,0.028922021
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.00809209,0.0038224326,0.9353184,0.052767053
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.0670993,0.08615721,0.7213855,0.125358
What do you call a young cow?,mare,lamb,kid,calf,D,True,0.014917257,0.010252471,0.16037562,0.8144546
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.09566114,0.62378895,0.12283133,0.15771854
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.15951143,0.5567496,0.12422763,0.15951143
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.018783921,0.0047493195,0.4275201,0.5489467
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.74580157,0.11437238,0.061219122,0.0786069
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.12164415,0.083604716,0.1769912,0.61775994
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.18782634,0.07829767,0.6555783,0.07829767
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.12656161,0.04655942,0.18414608,0.6427329
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.043594282,0.13427985,0.04939879,0.77272713
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.4209627,0.15486352,0.1988487,0.22532511
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.9574597,0.010636416,0.022517294,0.009386604
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.32770786,0.09388988,0.28920117,0.28920117
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.042126905,0.022548907,0.8461415,0.08918266
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.022175267,0.8321208,0.07739929,0.068304636
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.66701233,0.07030258,0.13134252,0.13134252
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.03892426,0.005267825,0.41847518,0.5373328
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.13116527,0.090148486,0.5878419,0.19084433
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.23062675,0.15850729,0.23062675,0.38023922
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.894931,0.016391234,0.06482859,0.023849104
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.15125309,0.13348038,0.2493742,0.46589231
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.037023265,0.041952856,0.07837826,0.84264565
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.021311918,0.9062058,0.045117326,0.027365044
