0,1,2,3,4,5,llama_7B_sharegpt_xc_20000/ckp10k_correct,llama_7B_sharegpt_xc_20000/ckp10k_choiceA_probs,llama_7B_sharegpt_xc_20000/ckp10k_choiceB_probs,llama_7B_sharegpt_xc_20000/ckp10k_choiceC_probs,llama_7B_sharegpt_xc_20000/ckp10k_choiceD_probs
"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,This type occurs in young galaxies.,This type produces gamma-ray bursts.,This type produces high amounts of X-rays.,A,False,0.1738057,0.14408998,0.11221739,0.5698869
If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:,Its speed relative to you,Its composition,Its size,Its distance from you,D,True,0.19479534,0.26625368,0.071661204,0.46728975
Why is the sky blue?,Because the molecules that compose the Earth's atmosphere have a blue-ish color.,Because the sky reflects the color of the Earth's oceans.,Because the atmosphere preferentially scatters short wavelengths.,Because the Earth's atmosphere preferentially absorbs all other colors.,C,False,0.19724219,0.11963342,0.112385206,0.57073915
You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct?,The first time you drop a bowling ball and it falls to the ground proving your hypothesis.,After you’ve repeated your experiment many times.,You can never prove your theory to be correct only “yet to be proven wrong”.,When you and many others have tested the hypothesis.,C,False,0.24057688,0.12877151,0.088503286,0.54214835
Which of the following is/are true?,Titan is the only outer solar system moon with a thick atmosphere,Titan is the only outer solar system moon with evidence for recent geologic activity,Titan's atmosphere is composed mostly of hydrocarbons,A and D,D,True,0.09758356,0.11057666,0.19406807,0.59777176
A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact?,m*v,0.5*m/(R^3),0.5*m*(2GM/R),0.6*G(M^2)/R,C,False,0.13267386,0.19303931,0.18134366,0.49294317
"Some of Mars'water is frozen in the soil and the ice caps and some was lost due to solar wind stripping but much of the original water is thought to have been lost through another mechanism. What happened to this ""lost""water?",it was stripped away by the magnetic field when it rapidly decreased in strength,it was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape,it was consumed by a civilization of thirsty Martians,it was vaporized during a period of intense volcanism and was lost to space through thermal escape,B,False,0.17255685,0.14305463,0.118596464,0.5657921
Most rocks on the Moon's surface are older than those on the Earth's surface. The best evidence for this is:,Lunar rocks are composed of fragments pulverized by many impacts.,Radioactive dating of lunar samples shows that they are older.,The Moon's surface is more heavily eroded than the Earth's surface.,The Moon's surface has more impact craters than the Earth's surface.,B,False,0.21933345,0.28162974,0.06284009,0.43619666
What is the second most common element in the solar system?,Iron,Hydrogen,Methane,Helium,D,False,0.060316555,0.41867986,0.12769015,0.39331335
What is the source of the material that causes meteor showers?,Near-Earth asteroids gradually disintegrate and spread out along their orbital path. When the Earth passes through the orbit of an asteroid we are bombarded by sand-sized particles which cause a meteor shower.,Near-Earth asteroids disintegrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a single location in the sky.,The nuclei of comets disintigrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a central location in the sky.,The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.,D,True,0.22469671,0.18628012,0.0826613,0.50636184
Why does the plasma (ion) tail of a comet always point away from the Sun?,Radiation pressure from the Sun's light pushes the ions away.,The conservation of the angular momentum in the tail keeps it always pointing away from the Sun.,The ions are following Keplerian orbits that lead away from the Sun.,"The solar wind electromagnetically ""blows"" the ions directly away from the Sun.",D,True,0.14622314,0.15565372,0.18775423,0.5103689
How did Eratosthenes estimate the size of Earth in 240 B.C.?,By observing the duration of a solar eclipse.,By measuring the size of Earth's shadow on the Moon in a lunar eclipse.,By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.,By sending fleets of ships around Earth.,C,False,0.36676407,0.22245365,0.0871141,0.32366815
The Large Magellanic Cloud is ...,a dwarf galaxy orbiting the Milky Way.,the closest planetary nebula to the Earth.,a bright star cluster discovered by Magellan.,the outer arm of the Milky Way named after Magellan.,A,False,0.26049522,0.17903557,0.13098523,0.429484
Why do we look for water-ice in craters at Mercury's pole?,Actually water-ice is all over Mercury and not just at the poles.,The pole is the only place fortunate enough to have had comet impacts,Radar from the earth can only see Mercury's poles.,These craters contain the only permanently shadowed regions on Mercury,D,True,0.19951712,0.13712597,0.12101325,0.54234374
The Milky Way is part of a giant supercluster with a diameter of 160 Mpc. What is the name of this supercluster?,Virgo,Laniakea,Sculptor,Boötes,B,False,0.26508847,0.2821852,0.06702486,0.38570142
On which planet in our solar system can you find the Great Red Spot?,Venus,Mars,Jupiter,Saturn,C,False,0.115554996,0.07460791,0.10197693,0.7078602
Why does Earth have the strongest magnetic field among the terrestrial worlds?,It is by far the largest terrestrial world.,It is the most volcanically active world.,It is the only one that has both a partially molten metallic core and reasonably rapid rotation.,It rotates much faster than any other terrestrial world.,C,False,0.121807806,0.10749501,0.25786713,0.51283
Which of the following is not true?,The Earth and Venus are in a 1:1 orbital resonance (for every 1 Earth orbit there is exactly 1 Venus orbit),Neptune and Pluto are in a 3:2 orbital resonance (for every 3 Neptune orbits there are exactly 2 Pluto orbits),The Kirkwood Gaps in the asteroid belt are due to resonances with Jupiter,Neptune and Pluto won't collide because of their orbital resonance,A,False,0.21586677,0.13092981,0.10196825,0.55123514
Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:,ejecta,raised rims,central peaks,A and B only,D,True,0.25065726,0.1044895,0.043557703,0.60129553
From laboratory measurements we know that a particular spectral line formed by hydrogen appears at a wavelength of 486.1 nanometers (nm). The spectrum of a particular star shows the same hydrogen line appearing at a wavelength of 485.9 nm. What can we conclude?,The star is getting hotter.,The star is getting colder.,The star is moving toward us.,The star is moving away from us.,C,False,0.24181353,0.088958226,0.18832456,0.48090363
The lithosphere of a planet is the layer that consists of,the softer rocky material of the mantle.,the lava that comes out of volcanoes.,material between the crust and the mantle.,the rigid rocky material of the crust and uppermost portion of the mantle.,D,True,0.15560758,0.073503815,0.073503815,0.6973848
What is the Cassini division of Saturn's rings?,a dark ring visible from Earth composed of dark dusty particles,the most opaque ring of Saturn made of highly reflective ice particles,the widest ring of Saturn located between two large ring gaps,a large gap visible from Earth produced by an orbital resonance with the moon Mimas,D,True,0.20977622,0.3052226,0.09308763,0.39191356
Which of the following statements about sidereal and solar days is not true?,The time it takes for the Sun to make one circuit of our sky is one solar day.,A solar day is 4 minutes longer than a sidereal day.,A solar day represents more than 360° of rotation for the earth.,The time it takes for the Moon to make one circuit of our sky is one solar day.,D,True,0.21537866,0.13905892,0.0955737,0.5499887
Meteorites with high metal content probably are,pieces of comets rather than of asteroids.,chunks of large differentiated asteroids that were shattered by collisions.,chunks of rock chipped off the planet Mars.,leftover chunks of rock from the earliest period in the formation of the solar system.,B,False,0.15845901,0.17955758,0.10890718,0.55307627
Most people use C°(degree Celsius) to measure everyday temperatures. Astronomers prefer to use K (Kelvin) to measure temperatures. Approximately how many Kelvin are 25 C°?,200 Kelvin,250 Kelvin,300 Kelvin,350 Kelvin,C,False,0.24550898,0.19120258,0.15851252,0.4047759
The four big moons of Jupiter are Callisto Europa Ganymede and Io. Which one of them has the smallest distance to Jupiter?,Callisto,Europa,Ganymede,Io,D,True,0.16347761,0.153573,0.11235641,0.57059294
Why are the season's in Mars' southern hemisphere so extreme?,because Mars is farther from the sun than the Earth,because Mars has more carbon dioxide in its atmosphere than the Earth,because Mars has a more eccentric orbit than the Earth,because Mars' axis is more tilted than the Earth's,C,False,0.17417008,0.15370457,0.1356438,0.5364816
What Mars mission will be landing on May 25 2008 and will dig a trench into (hopefully) ice-rich soil?,ExoMars,Mars Exploration Rovers,Mars Science Laboratory,Phoenix Mars Lander,D,True,0.25906074,0.14760834,0.13866521,0.45466572
What is the significance of the 1:2:4 resonance in the Jupiter's moons system?,The resonance pulls Io in different directions and generates heat.,It makes the orbit of Io slightly elliptical.,It creates a gap with no asteriods between the orbits.,It prevents formation of the ring material into other moons.,B,False,0.17580727,0.14574935,0.13691884,0.5415245
The terrestrial planet cores contain mostly metal because,the entire planets are made mostly of metal.,metals condensed first in the solar nebula and the rocks then accreted around them.,metals sank to the center during a time when the interiors were molten throughout.,radioactivity created metals in the core from the decay of uranium.,C,False,0.14644493,0.18803902,0.121407114,0.5441089
Why are the inner planets made of denser materials than the outer planets?,In the beginning when the protoplanetary disk was spinning faster centrifugal forces flung the lighter materials toward the outer parts of the solar nebula.,In the inner part of the nebula only metals and rocks were able to condense because of the high temperatures whereas hydrogen compounds although more abundant were only able to condense in the cooler outer regions.,Denser materials were heavier and sank to the center of the nebula.,When the solar nebula formed a disk materials naturally segregated into bands and in our particular solar system the denser materials settled nearer the Sun while lighter materials are found in the outer part.,B,False,0.11917559,0.1437532,0.09281404,0.6442571
What do meteorites reveal about the solar system?,They reveal that the early solar system consisted mostly of hydrogen and helium gas.,They reveal that meteorites are much older than the comets and planets.,They reveal that the age of the solar system is approximately 4.6 billion years.,They reveal that the solar system once contained 10 planets.,C,False,0.12619838,0.086734794,0.22148503,0.56558186
Venus shows evidence of which of the following surface processes?,Impacts,Erosion,Volcanism,A B and C,D,True,0.17848673,0.21529609,0.08974876,0.51646847
Planetary rings are,known to exist for all of the jovian planets.,composed of a large number of individual particles that orbit their planet in accord with Kepler's third law.,nearer to their planet than any of the planet's large moons.,all of the above,D,True,0.16536275,0.13709053,0.083149604,0.6143971
Suppose the angular separation of two stars is smaller than the angular resolution of your eyes. How will the stars appear to your eyes?,You will not be able to see these two stars at all.,You will see two distinct stars.,The two stars will look like a single point of light.,The two stars will appear to be touching looking rather like a small dumbbell.,C,False,0.3149951,0.1583895,0.096068084,0.43054727
What is not true of Jupiter's magnetic field?,it is about 20000 times stronger than Earth's magnetic field,"it traps charged particles from Io's volcanoes in a ""plasma torus"" around the planet",it causes spectacular auroral displays at Jupiter's north and south poles,it switches polarity every 11 years,D,True,0.15842205,0.14882374,0.13980697,0.5529473
What does the astronomical term ecliptic describe?,The path of the Sun in the sky throughout a year.,The axial tilt of the Earth throughout a year.,The movement of the stars due to Earth’s rotation.,The central line through the axis of rotation.,A,False,0.3125582,0.09532487,0.10801723,0.48409963
The so-called dark energy is a model to explain ...,the radiation of black holes.,the mass distribution of galaxies.,the acceleration of the universe.,the microwave background of the universe.,C,False,0.21392198,0.16660261,0.16660261,0.45287284
How do scientists know that the majority of meteorites come from the asteroid belt?,Bubbles of gas trapped in the crystals within meteorites are identical to the gases trapped in asteroids.,The spectra of some meteorites are similar to the spectra of asteroids in the asteroid belt.,Collisions are common in the asteroid belt and we can track the fragments from their source asteroid to the Earth where they become meteorites.,The asteroid belt is the only possible source of meteorites therefore they must originate there.,B,False,0.15088874,0.17097934,0.11751226,0.56061965
