0,1,2,3,4,5,llama2_chat_7B_alpacacode_sharegpt_qy_vic_52000_correct,llama2_chat_7B_alpacacode_sharegpt_qy_vic_52000_choiceA_probs,llama2_chat_7B_alpacacode_sharegpt_qy_vic_52000_choiceB_probs,llama2_chat_7B_alpacacode_sharegpt_qy_vic_52000_choiceC_probs,llama2_chat_7B_alpacacode_sharegpt_qy_vic_52000_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.044880886,0.018709136,0.9014567,0.03495327
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.60912687,0.07274983,0.25392184,0.0642015
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.3500289,0.12876844,0.30889943,0.21230327
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.6764172,0.08078651,0.048999496,0.19379677
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.008529688,0.9858979,0.0051735174,0.0003989388
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.03272623,0.0044290135,0.95640063,0.0064441767
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.0024654965,0.00070637657,0.9946523,0.002175793
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.24434873,0.022727974,0.21563701,0.5172863
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.9879484,0.0051842774,0.0051842774,0.0016830885
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.61375123,0.09412181,0.15518062,0.13694641
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.28658,0.06394464,0.32473767,0.32473767
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.13108858,0.14854282,0.6657227,0.054645848
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.5469986,0.095054105,0.20122956,0.15671773
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.17228295,0.092216425,0.6013266,0.1341741
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.95813996,0.013667132,0.017548947,0.010643973
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.2913568,0.69892865,0.0060469178,0.003667641
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.83626026,0.041634947,0.06864442,0.05346033
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.7272378,0.02819807,0.20835713,0.03620704
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.46323574,0.062692136,0.19310538,0.28096667
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.9874621,0.0014845892,0.0051817256,0.0058716647
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,True,0.2625792,0.06639042,0.18046786,0.4905625
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.98203367,0.00079027493,0.015873095,0.0013029431
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.40851712,0.037998013,0.3605151,0.19296981
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.3200748,0.063026465,0.46570608,0.15119262
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.16280685,0.05989329,0.5682517,0.20904814
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.18571734,0.077418506,0.73452634,0.0023378364
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.04663358,0.011790816,0.9366605,0.0049151434
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.025589077,0.0021004793,0.960223,0.012087424
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.57489973,0.12827748,0.2715634,0.025259333
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.87490505,0.018158074,0.06337791,0.043558955
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.18188514,0.0973561,0.5602457,0.16051309
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.1524254,0.6831232,0.07200065,0.09245066
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.64005965,0.11122569,0.20779695,0.040917642
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.31127852,0.3527248,0.27470234,0.061294377
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.0040611704,0.0007996919,0.9937356,0.0014035029
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.03230992,0.0038588697,0.94423425,0.019596957
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.061764374,0.069988206,0.85263085,0.015616479
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.051167574,0.0310347,0.62334865,0.29444906
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.054394744,0.850877,0.07914389,0.015584356
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.41290945,0.4678877,0.055881217,0.06332172
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.035747178,0.013150653,0.7180013,0.23310089
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.86777407,0.02040809,0.04895646,0.062861346
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.06888112,0.025339944,0.74054176,0.1652372
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.24073482,0.015389662,0.74151546,0.0023600813
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.5409296,0.034580473,0.22549301,0.19899689
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.06731858,0.1829909,0.110989586,0.63870096
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.6650609,0.101990394,0.13095826,0.101990394
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.9959864,0.0003786033,0.0024688037,0.0011661801
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.6439141,0.08714429,0.2090483,0.059893344
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.3314209,0.027204683,0.5464207,0.09495368
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.0030614391,0.96187556,0.025633115,0.009429895
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.97059005,0.0050931894,0.017776977,0.0065397844
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.26266307,0.0148184365,0.23179933,0.4907192
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.6182838,0.25773904,0.1217473,0.0022298796
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.7393069,0.047262307,0.113376394,0.10005431
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.9911184,0.0016884889,0.006678103,0.00051496003
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,True,0.24826822,0.11727359,0.46382606,0.17063208
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.076594315,0.18374021,0.09834905,0.64131635
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.029079597,0.962984,0.0064885356,0.0014477879
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.9737588,0.005790182,0.013889923,0.0065611354
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.70659924,0.22939919,0.045171376,0.018830232
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.47759074,0.17569582,0.28967342,0.05704008
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.5078567,0.21170618,0.21170618,0.068730935
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.049053717,0.012402723,0.17121431,0.7673293
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.3247916,0.19699608,0.3247916,0.15342069
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.9860196,0.002156909,0.009666596,0.002156909
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.6965837,0.06479238,0.15542884,0.08319506
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.090713255,0.31662038,0.52201873,0.07064755
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.77151173,0.07176177,0.11831516,0.038411308
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.46432778,0.46432778,0.055456046,0.015888423
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.97139615,0.0024078505,0.008404223,0.01779174
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.46601036,0.13351421,0.28264958,0.11782587
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.34032014,0.09750336,0.12519678,0.4369797
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.09633424,0.8065967,0.045505073,0.051564
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.02710224,0.03071086,0.8975029,0.044684038
