0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt4op_Gptvic_Tptvicuna_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.02828126,0.098711304,0.1436241,0.72938335
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.037834987,0.27956483,0.09076142,0.5918388
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.083885014,0.09505418,0.20122969,0.6198311
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.029209197,0.11552461,0.1904679,0.66479826
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.048477996,0.1917342,0.16920485,0.5905829
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.04424529,0.12027117,0.22469613,0.6107874
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.06591351,0.20302792,0.1791715,0.5518871
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.07623117,0.12568395,0.23480852,0.56327635
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.14759026,0.16724168,0.1014372,0.5837308
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.13168195,0.21710682,0.19159609,0.45961514
