0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt35_Tptalpaca_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.43932247,0.11107811,0.18313685,0.26646256
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.3687411,0.3687411,0.22365278,0.038865026
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.28874955,0.32719612,0.32719612,0.05685816
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.34668922,0.30595216,0.27000183,0.07735682
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.043026853,0.10321605,0.7626692,0.09108785
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.2181526,0.3596728,0.3596728,0.062501766
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.49914297,0.34305564,0.11137386,0.04642753
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.36658123,0.08179533,0.5333725,0.018251004
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.7946244,0.13808501,0.050798636,0.016491903
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.33063635,0.48107302,0.17697687,0.011313753
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.30121598,0.38676897,0.26582217,0.046192966
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.085406885,0.4914827,0.3827671,0.040343355
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.3135367,0.35528365,0.2766952,0.054484513
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.24958959,0.5987343,0.11789778,0.03377828
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.18114278,0.33841926,0.38347927,0.09695874
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.19908436,0.37193853,0.37193853,0.057038624
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.75581074,0.14882796,0.09026872,0.0050926125
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.55864996,0.29902378,0.07560505,0.06672122
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.41561627,0.47095495,0.09273653,0.020692317
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,True,0.39413646,0.3069538,0.21096605,0.08794373
