0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_wizardlm70k_2000_Tptalpaca_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.08021721,0.27998558,0.11671535,0.5230819
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.04940434,0.13429493,0.13429493,0.6820059
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.062053006,0.19113672,0.079677634,0.6671327
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.026100894,0.317974,0.2476384,0.4082867
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.08927251,0.27497867,0.12202104,0.5137278
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.36812574,0.2866966,0.1354259,0.20975173
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.04578786,0.14103654,0.0969329,0.7162427
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.05118638,0.20244606,0.12278975,0.6235778
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.030679824,0.1765502,0.094500504,0.69826955
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.048323676,0.1686662,0.115922466,0.66708773
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,True,0.04354792,0.22115459,0.13413703,0.60116047
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.04631539,0.14266145,0.08652855,0.72449464
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.02861314,0.14530952,0.08813468,0.73794264
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.080825105,0.17110674,0.0713279,0.6767403
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.07960307,0.21638359,0.115821786,0.58819157
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.057609145,0.20107566,0.121958554,0.61935663
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.04544516,0.20367107,0.12353275,0.62735105
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.06316629,0.19456586,0.06316629,0.6791016
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.053708408,0.14599459,0.14599459,0.65430236
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.058697984,0.14080915,0.08540507,0.71508783
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.06279717,0.17070039,0.09136933,0.6751331
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.057609145,0.20107566,0.121958554,0.61935663
