0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptvicuna_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.025756625,0.0057470803,0.96651024,0.0019861376
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.58249694,0.40034392,0.015523017,0.001636114
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,True,0.19473653,0.19473653,0.08117826,0.52934873
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.22229204,0.13482694,0.038628563,0.6042524
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.0035901186,0.99544036,0.00090772414,6.1771396e-05
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.017876817,0.004519967,0.97604114,0.0015620588
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.0046023047,0.0010269129,0.9938211,0.0005496669
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.11788167,0.22023195,0.528309,0.13357744
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.9714092,0.022845356,0.0050974875,0.00064807286
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.54263717,0.42260626,0.027016314,0.0077403034
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,True,0.7392318,0.100044146,0.100044146,0.06067984
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.028572528,0.09972792,0.83501166,0.03668785
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.5804388,0.089013174,0.3106865,0.019861523
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,True,0.06044395,0.8344029,0.068491966,0.036661107
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.95192546,0.041824687,0.0038903018,0.0023595875
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.047241613,0.94887316,0.003422171,0.0004631405
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.8704002,0.10395448,0.020469852,0.005175589
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.28364658,0.41270334,0.15182507,0.15182507
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.089474626,0.0137213785,0.047892317,0.84891164
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.99120843,0.0066787098,0.00079765817,0.001315116
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,True,0.046383962,0.26692125,0.046383962,0.6403108
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.9903442,0.0045862035,0.0045862035,0.00048338232
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.5596399,0.3846345,0.027862828,0.027862828
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.18313685,0.26646256,0.43932247,0.11107811
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.15372597,0.06408252,0.68895197,0.09323951
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.03110705,0.26045614,0.70799315,0.00044371822
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.037095983,0.0056888536,0.956718,0.00049708644
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.015826803,0.0035314374,0.97916967,0.001472122
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.454785,0.40134633,0.054316323,0.08955248
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.9599172,0.013692482,0.006467871,0.019922445
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.2485522,0.17082725,0.4097933,0.17082725
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.2737255,0.57947695,0.017498689,0.12929879
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.48280114,0.20126146,0.17761262,0.13832484
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.38245746,0.20471475,0.33751753,0.07531034
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.005897314,0.0010908933,0.99177563,0.001236144
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.022795847,0.0065311193,0.969304,0.0013689969
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.04198328,0.11412239,0.8432568,0.0006374825
What do you call a young cow?,mare,lamb,kid,calf,D,True,0.03540056,0.006151695,0.045455217,0.9129925
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.017844884,0.97429764,0.0065647657,0.001292679
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.035953462,0.92725205,0.021806879,0.014987634
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.021758081,0.002023817,0.6358644,0.3403537
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.7208737,0.26519462,0.009074461,0.004857209
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.09588493,0.084618144,0.80283463,0.016662301
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.012347432,0.006609104,0.980878,0.00016545568
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.2330582,0.04049944,0.2330582,0.4933842
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.037176367,0.9007009,0.022548607,0.03957404
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.69991416,0.25748405,0.023949744,0.01865208
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.98528975,0.012402968,0.0011536557,0.0011536557
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.49670485,0.30126673,0.16125645,0.040772017
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.059210673,0.010289272,0.9262108,0.004289207
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.0035769718,0.9917951,0.0024584145,0.0021695432
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.80907345,0.159316,0.016791783,0.014818697
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.056737434,0.00677632,0.3265014,0.6099849
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.30419055,0.39058837,0.30419055,0.0010306136
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,True,0.4331178,0.5561343,0.007000698,0.0037472034
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.9604169,0.037239406,0.0017417102,0.00060191896
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.5172609,0.19028966,0.24433675,0.04811276
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.040493514,0.14133626,0.004836261,0.813334
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.025817968,0.9688121,0.00448649,0.0008834423
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.61859614,0.37519753,0.0036783072,0.0025280612
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.094132416,0.89310354,0.009921484,0.002842553
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.10226168,0.8562265,0.02929846,0.012213415
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,True,0.11293585,0.3478669,0.39418483,0.1450125
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.022113146,0.028393842,0.00921813,0.9402749
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.18560666,0.30601364,0.2700561,0.23832366
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.95420676,0.03699861,0.0064293947,0.0023652422
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.5790978,0.1659143,0.041949708,0.21303818
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,True,0.304894,0.34549016,0.23745169,0.11216423
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.6613548,0.31240186,0.015553574,0.010689804
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.12717174,0.82926387,0.0151884975,0.02837585
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.96177506,0.029043091,0.0027014283,0.0064803893
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,True,0.33393717,0.08443254,0.5505693,0.031060994
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.63148034,0.2982902,0.045744285,0.024485148
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.02876056,0.9524189,0.010580419,0.0082400385
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.017677832,0.015600631,0.9651769,0.0015446716
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.80718803,0.031298075,0.15894476,0.0025691027
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,True,0.10229059,0.6670184,0.16864866,0.06204238
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,False,0.05592396,0.09220302,0.25063378,0.6012392
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.041523367,0.94506747,0.011896644,0.0015124885
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.15710118,0.4839057,0.29350364,0.065489516
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.13048662,0.012137147,0.85087967,0.0064965463
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.04590297,0.92198586,0.02784156,0.0042696414
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.8908414,0.10639584,0.0017197286,0.001043068
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.01573274,0.97335017,0.009542389,0.0013747115
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.025566956,0.013685005,0.95939296,0.0013549991
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.053093772,0.94110966,0.00493849,0.0008581809
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.008561528,0.0013129528,0.98957807,0.0005473202
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.0066573382,0.0021613215,0.003144704,0.98803663
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.66677696,0.21647078,0.06201992,0.054732386
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.072011806,0.683229,0.17274734,0.072011806
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.7921827,0.15599002,0.030716255,0.021110954
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.007830659,0.0028807383,0.084187515,0.90510106
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,False,0.48917165,0.48917165,0.010152433,0.011504215
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.0027980094,0.00033417458,0.0007074476,0.9961604
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.95523804,0.025456231,0.013625738,0.005680053
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.19926031,0.42183408,0.3285247,0.050380897
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.019939154,0.96072227,0.017596243,0.001742264
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.013907735,0.0045151804,0.97500753,0.006569549
