0,1,2,3,4,5,dp_llama_7B_alpaca_20000_correct,dp_llama_7B_alpaca_20000_choiceA_probs,dp_llama_7B_alpaca_20000_choiceB_probs,dp_llama_7B_alpaca_20000_choiceC_probs,dp_llama_7B_alpaca_20000_choiceD_probs
What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?,18 gauge.,20 gauge.,22 gauge.,24 gauge.,A,True,0.8690877,0.055558916,0.01239687,0.062956505
The key attribute in successful marathon running is:,strength.,power.,stride length.,stamina.,D,True,0.074125186,0.044959195,0.08399483,0.7969208
Which of the following is the commonest cause of dementia in the UK?,Alzheimer's disease.,Cerebrovascular (stroke) disease.,Lewy body dementia.,HIV infection.,A,True,0.9123277,0.021455891,0.007893181,0.058323156
Which of the following is NOT a symptom of anaphylaxis?,Stridor.,Bradycardia.,Severe wheeze.,Rash.,B,False,0.052690808,0.08687245,0.03621383,0.8242229
In what situation are closed pouches applied?,The patient has a semi-formed or liquid output.,The patient has a colostomy.,In the immediate post-operative period.,The patient has a urostomy.,B,False,0.6120843,0.10636431,0.19871469,0.082836606
With an increasing number of sprints the:,anaerobic contribution progressively increases.,pH of the muscle falls below 6.0.,blood glucose concentration falls below 3 mmol/L.,relative contribution of aerobic metabolism increases.,D,True,0.05317203,0.14453655,0.06827424,0.7340172
Which of the following is true in diplopia?,Diplopia can never occur if one eye is covered,The outer image is always the false image,A fourth nerve palsy occurs when the patient looks upwards,A sixth nerve palsy causes a divergent squint,B,False,0.2012616,0.17761272,0.074039996,0.5470857
Sodium bicarbonate ingestion improves middle distance running performance by:,elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.,elevating the pre-exercise muscle pH.,A,True,0.5723103,0.23857443,0.02514556,0.16396967
Codons are composed of:,triplet sequences of nucleotide bases in mRNA or DNA .,quadruplet sequences of nucleotide bases in mRNA or DNA.,triplet sequences of amino acids in polypeptide chains.,triplet sequences of deoxyribose sugars in DNA.,A,False,0.39913452,0.04766982,0.45227867,0.10091702
Fatty acids are transported into the mitochondria bound to:,thiokinase.,coenzyme A (CoA).,acetyl-CoA.,carnitine.,D,False,0.07063182,0.40645802,0.11645217,0.40645802
Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?,"Blood type AB (rhesus negative), blood type B, and blood type O (rhesus negative).",Blood type B (rhesus positive) and blood type O (rhesus positive).,Blood type B (rhesus negative) and blood type O (rhesus negative).,Blood type B (rhesus negative) only.,C,False,0.50286674,0.18499434,0.12714462,0.18499434
Which of the following is true of a lower motor neurone lesion in the arm?,It leads to increased tone in the arm (hypertonia),Fasciculations are never seen,The reflexes are brisk,An ulna nerve palsy is an example of a lower motor neurone lesion,D,True,0.118905395,0.056166932,0.049567137,0.7753605
Which of the following statements is false?,Ammonia is produced in repeated high intensity exercise.,Muscle lactate accumulation does not begin until at least 5 seconds of intermittent muscle contractions have taken place.,Muscle phosphocreatine depletion begins in the first few seconds of high intensity exercise.,With an increasing number of repeated sprints the rate of accumulation of lactate in muscle declines.,B,False,0.07620247,0.30138662,0.05934654,0.56306434
Glycogen breakdown in muscle initially results in the formation of:,glucose.,glucose-1-phosphate.,glucose-6-phosphate.,"glucose-1,6-diphosphate.",B,False,0.53599095,0.15356398,0.023549799,0.2868953
The two principal contractile proteins found in skeletal muscle are:,actin and troponin.,actin and myosin.,troponin and tropomyosin.,myosin and tropomyosin.,B,False,0.96525896,0.029148296,0.0021114955,0.0034812675
