0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptvicuna_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptvicuna_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptvicuna_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptvicuna_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_2000_gpt4op_Gptnone_Tptvicuna_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.014818161,0.035546917,0.8090441,0.14059079
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.10480418,0.19579999,0.2848873,0.41450858
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,True,0.039879788,0.074505255,0.17872882,0.7068862
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.04227688,0.054284588,0.054284588,0.8491539
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.0050115692,0.95503604,0.022460295,0.017492095
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.019246371,0.076120876,0.8183765,0.08625624
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.0010096361,0.0039931885,0.97710097,0.01789623
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.024298929,0.03120044,0.13983068,0.80467
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,False,0.115821786,0.07960307,0.21638359,0.58819157
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.10533391,0.13525142,0.15325993,0.6061548
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.04704412,0.04151629,0.077562645,0.83387697
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.024179999,0.12279616,0.22941345,0.6236104
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.195427,0.195427,0.41371897,0.195427
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.04899954,0.103732035,0.080786586,0.7664818
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.33873922,0.18131405,0.14120752,0.33873922
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.04090401,0.63984644,0.052521795,0.2667277
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.62825114,0.14018178,0.051569995,0.17999697
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.0854477,0.15963732,0.26319745,0.49171755
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.05793889,0.05793889,0.084300585,0.7998217
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.49642128,0.07612867,0.08626509,0.34118503
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,True,0.030429898,0.12035259,0.0644201,0.78479743
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.6649267,0.05458051,0.089988045,0.1905047
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.032995343,0.054400124,0.06164342,0.85096115
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.071125135,0.10348646,0.15057191,0.6748165
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,True,0.022544561,0.042118784,0.1887633,0.7465733
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.023859428,0.121168174,0.7901157,0.06485665
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.0023994811,0.009490131,0.9680198,0.02009061
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.0018737167,0.011477907,0.91180307,0.07484535
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.18639418,0.27120194,0.27120194,0.27120194
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,False,0.043658923,0.023368938,0.056059167,0.87691295
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,True,0.018048035,0.043294985,0.171235,0.76742196
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.029611181,0.10335317,0.10335317,0.7636824
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.30369252,0.14345418,0.2087246,0.3441287
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,True,0.03682981,0.16505976,0.3494315,0.44867894
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.003196538,0.011876579,0.9434735,0.041453335
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.0019793492,0.0057274373,0.9632068,0.029086327
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.031086568,0.122949764,0.5510226,0.29494116
What do you call a young cow?,mare,lamb,kid,calf,D,True,0.003399844,0.005265782,0.10576606,0.8855683
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.0186021,0.79098135,0.083368815,0.107047684
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.056981687,0.69417906,0.09394692,0.1548923
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.010499303,0.010499303,0.14493841,0.83406293
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.26617035,0.56348264,0.05939063,0.11095631
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.03161406,0.06692696,0.18192635,0.71953267
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.049069826,0.09167451,0.7675812,0.09167451
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.061789848,0.07001708,0.11543864,0.75275445
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.0053513395,0.015484613,0.021164957,0.9579991
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.0885031,0.12877126,0.12877126,0.6539544
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.81640214,0.075937234,0.040646266,0.06701437
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.09846756,0.12643485,0.20845583,0.5666417
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.008630303,0.018270351,0.8803148,0.092784494
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.005347298,0.7936094,0.044772375,0.15627095
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,False,0.21159947,0.11326103,0.09995251,0.57518697
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.021952089,0.015087435,0.23600718,0.7269533
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.042700764,0.24572593,0.5202018,0.19137156
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.06549655,0.107985556,0.122363664,0.70415425
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.84960353,0.029071834,0.07902544,0.042299267
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.031329762,0.09650246,0.15910567,0.7130621
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.0030678383,0.0073593613,0.025686694,0.9638861
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.0065318462,0.96941197,0.015669085,0.008387057
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.3895747,0.30340108,0.09849991,0.20852432
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.13365965,0.59902096,0.13365965,0.13365965
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.03602449,0.09792471,0.14247961,0.7235712
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.074872814,0.074872814,0.13988084,0.7103735
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.0027530293,0.0031195912,0.013981036,0.98014635
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.061061412,0.14647871,0.21312527,0.57933456
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,False,0.21392198,0.16660261,0.16660261,0.45287284
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,False,0.01788594,0.029488929,0.09083229,0.86179286
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.03912007,0.093844175,0.2550949,0.61194086
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.4430448,0.20927955,0.16298708,0.18468855
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.02197541,0.076701716,0.076701716,0.82462114
