0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_sd1_Tptalpaca_correct,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_sd1_Tptalpaca_choiceA_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_sd1_Tptalpaca_choiceB_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_sd1_Tptalpaca_choiceC_probs,alpacacode_llama_7B_llamatokenizer_sharegpt_qy_vic_2000_gpt35_sd1_Tptalpaca_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.11188585,0.04664096,0.11188585,0.7295874
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.1928874,0.13256943,0.15022086,0.5243223
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.09400644,0.020975672,0.14560002,0.7394179
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.10834966,0.065717384,0.20242381,0.6235092
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.08488045,0.11601781,0.1314654,0.6676364
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.075618215,0.08568666,0.20555161,0.63314354
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.210639,0.12001848,0.16404583,0.5052967
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.103713945,0.02622299,0.19376317,0.67629987
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.2808375,0.09117459,0.10331434,0.5246735
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.2146655,0.054275937,0.14753729,0.5835213
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.13712597,0.19951712,0.12101325,0.54234374
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,True,0.03434866,0.020833515,0.21041106,0.7344067
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.1928874,0.13256943,0.15022086,0.5243223
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.12332159,0.07026652,0.13974166,0.6666702
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.19799949,0.064281024,0.12783809,0.6098814
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.13589561,0.13589561,0.25388643,0.4743223
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.066523045,0.05870638,0.15958048,0.7151901
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.19269384,0.09689255,0.116874725,0.5935388
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,True,0.17955771,0.08481705,0.10890725,0.626718
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.07560428,0.11000358,0.18136525,0.6330269
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.055040304,0.03553669,0.14961506,0.75980794
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.16595845,0.08883116,0.16595845,0.5792519
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.12908508,0.069094256,0.14627255,0.6555481
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.14625071,0.12906581,0.14625071,0.5784328
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.13392761,0.104302935,0.16154754,0.60022193
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.16279866,0.04965079,0.14366932,0.6438812
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,True,0.13507906,0.04385375,0.13507906,0.68598807
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,True,0.13668784,0.03246621,0.13668784,0.69415814
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,False,0.13108858,0.054645848,0.14854282,0.6657227
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,False,0.0718558,0.033942275,0.0718558,0.8223461
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.13525142,0.15325993,0.10533391,0.6061548
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.20066792,0.073821604,0.1074098,0.6181007
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.21638353,0.09601962,0.16851966,0.5190771
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.12155144,0.057416834,0.12155144,0.69948024
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,True,0.25800633,0.12187355,0.13810083,0.48201925
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,False,0.28748983,0.119843595,0.17437139,0.41829523
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.065785535,0.048129726,0.17882362,0.70726115
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,True,0.13426246,0.063421085,0.07650044,0.72581595
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.1502412,0.06262985,0.19291352,0.59421545
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,False,0.09360293,0.060434595,0.15432516,0.69163734
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,False,0.06370267,0.06370267,0.14355619,0.7290385
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,True,0.21052976,0.05323026,0.16396074,0.5722792
Which number has an absolute value greater than 5?,-6,-5,0,5,A,False,0.05842293,0.025925018,0.1091484,0.80650365
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,False,0.120415,0.050196443,0.13644807,0.6929405
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","15, 17","15, 19","17, 19","17, 21",D,True,0.22335622,0.105506,0.06399263,0.60714513
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,3 cans,12 cans,36 cans,13 cans,B,False,0.103622615,0.08070137,0.21936908,0.596307
"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","3.18, 3 and 1 over 8, 3.8,3","3,3 and 1 over 8, 3.18, 3","3.8, 3 and 1 over 8, 3.18, 3","3.8, 3.18, 3 and 1 over 8, 3",D,True,0.31968525,0.07593191,0.1938989,0.410484
Compute 22 / 2 + 9.,10,11,20,2,C,False,0.089418106,0.06963889,0.2931907,0.5477523
"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","800,000","830,000","836,000","840,000",D,True,0.18690693,0.060679797,0.10004407,0.65236926
Find the product of 5 • (−9).,14,−4,45,−45,D,True,0.12630053,0.059660148,0.17263235,0.641407
"Keiko spent the day bird watching and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76 birds, how many birds did she count in the afternoon?",21 birds,40 birds,42 birds,84 birds,A,False,0.11718644,0.11718644,0.17050527,0.59512186
What is the value of 5 + 2 • 15 + (12 • 4)?,78,83,131,153,B,False,0.11872237,0.06354751,0.13453007,0.68320006
Which situation can be represented by the fraction 20/8?,Leslie spent 20 dollars and 8 cents at a store. How is the amount of money Leslie spent written as a fraction?,Mr. Kramer’s 8 grandchildren shared 20 crackers equally. How many crackers did each grandchild get?,Mitch bought 20 containers of flowers at a plant store. Each container had 8 flowers in it. How many flowers did Mitch buy?,Stamps are sold in booklets of 20 stamps. Donna used 8 stamps to send invitations for a party. How many booklets of stamps did Donna use to send her invitations?,B,False,0.38744614,0.20738497,0.06324884,0.34192002
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",120 miles,80 miles,26 miles,12 miles,A,False,0.19635332,0.13495152,0.13495152,0.5337436
Which step explains how to find the value of a in 6a = 72?,add 6 to both sides,divide both sides by 6,multiply both sides by 6,subtract 6 from both sides,B,False,0.09192786,0.059353083,0.12565048,0.7230686
"Coach Wu has a total of 30 soccerballs. 9 soccer balls are white. The remaining soccer balls are one of three different colors (blue, pink, or green). There is an equal numberof blue, pink, and green balls How many green soccer balls does Coach Wu have?",7,10,21,39,A,False,0.087874725,0.068436906,0.2706732,0.57301515
The temperature dropped 11°F between 6 P.M. and 10 P.M. It was 84°F at 10 P.M. Write and solve an equation to find t the temperature at 6 P.M.,84 − 11 = t; 73°F,t − 84 = 11; 95°F,84 − t = 11; 73°F,t − 11 = 84; 95°F,D,True,0.27020547,0.27020547,0.11263839,0.34695068
Theresa had a bag of 72 marbles. She put the marbles into 9 equal groups. Which number sentence shows how to find the number of marbles Theresa put into each group?,72 ÷ 9 = 8,72 – 9 = 63,9 + 72 = 81,9 ÷ 72 = 0.125,A,False,0.12925006,0.07839412,0.21309732,0.57925856
Rob uses 1 box of cat food every 5 days to feed his cats. Approximately how many boxes of cat food does he use per month?,2 boxes,4 boxes,5 boxes,6 boxes,D,True,0.065717384,0.10834966,0.20242381,0.6235092
What is the least common multiple of 4 and 10?,14,20,40,60,B,False,0.040377837,0.027751256,0.16999705,0.7618739
Find 4 over 7 + 2 over 7.,6 over 14,8 over 49,14 over 28,6 over 7,D,True,0.17955758,0.10890718,0.15845901,0.55307627
