0,1,2,3,4,5,dp_llama_7B_sharegpt_xc_20000_correct,dp_llama_7B_sharegpt_xc_20000_choiceA_probs,dp_llama_7B_sharegpt_xc_20000_choiceB_probs,dp_llama_7B_sharegpt_xc_20000_choiceC_probs,dp_llama_7B_sharegpt_xc_20000_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,True,0.11107811,0.26646256,0.43932247,0.18313685
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.088174626,0.16473189,0.50740993,0.23968348
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,True,0.12144535,0.29133224,0.33012268,0.2570998
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.064178586,0.22400527,0.5373607,0.17445548
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,True,0.10030659,0.30896604,0.3501044,0.240623
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.19168942,0.24613409,0.31604242,0.24613409
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.1021413,0.21623315,0.40397668,0.27764884
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,True,0.07625606,0.23488519,0.3872602,0.30159855
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,True,0.064804725,0.25630766,0.42257988,0.25630766
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.08138654,0.22123155,0.41331494,0.28406695
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.10253437,0.24596716,0.4055313,0.24596716
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.09364255,0.19824126,0.41967678,0.28843936
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.06112063,0.21333195,0.45162377,0.27392367
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.057396874,0.22700904,0.4241087,0.29148537
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.11462182,0.24265438,0.40006945,0.24265438
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.08684338,0.23606478,0.44102705,0.23606478
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.11462182,0.24265438,0.40006945,0.24265438
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,True,0.17238429,0.28421363,0.32205623,0.2213458
