0,1,2,3,4,5,llama_7B_followturn_20000/ckp25k_correct,llama_7B_followturn_20000/ckp25k_choiceA_probs,llama_7B_followturn_20000/ckp25k_choiceB_probs,llama_7B_followturn_20000/ckp25k_choiceC_probs,llama_7B_followturn_20000/ckp25k_choiceD_probs
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,"Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.","Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.","Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.","State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.",D,False,0.6772764,0.3199227,0.00190233,0.000898597
Which of the following statements does NOT accurately describe voting behavior in the United States?,Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.,A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.,Registered voters are more likely to vote in general elections than they are in primary elections.,More women than men have voted in every presidential election since 1980.,B,True,0.31378502,0.58622754,0.010086602,0.08990091
Which of the following plays the most significant role in forming a child's political views?,The geographical area in which the child grows up,The child's family,The media to which the child is exposed,The child's religion,B,True,0.29296356,0.70278305,0.003687867,0.00056555273
What power was granted to the states by the Articles of Confederation but not by the Constitution?,Coining money,Authorizing constitutional amendments,Having representation in Congress,Appealing to the president to adjudicate disputes,A,False,0.3390592,0.633446,0.024561366,0.0029334368
The primary function of political action committees (PACs) is to,contribute money to candidates for election,coordinate local get-out-the-vote campaigns,promote the defeat of incumbents in the federal and state legislatures,organize protest demonstrations and other acts of civil disobedience,A,True,0.492507,0.492507,0.007960634,0.007025235
Federal judges are subject to which of the following disciplinary actions?,"Impeachment, conviction, and removal from office by Congress",Removal from office by the appointing president,Removal from office by the president-elect,Recall elections by citizens residing in the district over which the judge has jurisdiction,A,True,0.4923312,0.4923312,0.003758995,0.011578521
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,vice president,president's chief of staff,national security advisor,chair of the Federal Reserve Board,B,True,0.42832625,0.5499818,0.021325108,0.00036691874
Which of the following defines the salience of a political issue?,The amount of coverage the issue receives in the major news media,The degree to which public opinion on the issue is likely to shift quickly,The number of people affected by the issue,The importance of the issue to a particular individual or group,D,False,0.36958137,0.6093367,0.020850355,0.00023162652
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,which special interest groups have endorsed which candidates,"the relative strength of each candidate's support, as indicated by public opinion polls",candidates' positions on international issues,candidates' positions on domestic issues,B,False,0.52556694,0.4638112,0.0074968096,0.0031251353
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,"One man, one vote",Separate but equal,Judicial review,Right to privacy,C,False,0.5271089,0.46517196,0.0075188046,0.00020036937
Which of the following people would most likely be accused of influence peddling?,A congressperson who retires to take a position teaching political science at a university,A former president who advises a current president on a particular foreign policy issue,A voter who researches the positions of all candidates in a race before choosing whom to support,An official who leaves the State Department to work as a paid consultant to foreign governments,D,False,0.24577789,0.66809356,0.07041654,0.015712054
