0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt4op_Gptvic_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt4op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt4op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt4op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt4op_Gptvic_Tptvicuna_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.04790041,0.18944979,0.6612447,0.10140516
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,True,0.09583897,0.3790505,0.29520482,0.22990575
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.24937434,0.5279255,0.07144695,0.1512532
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.23252428,0.2985671,0.085540906,0.38336772
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.34237432,0.63963944,0.011715406,0.006270804
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,False,0.019518103,0.44423,0.39203158,0.14422037
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.0034446253,0.03703321,0.9550991,0.0044229864
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.23910244,0.44670215,0.12798232,0.18621315
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.7916207,0.17663445,0.030694464,0.0010503068
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,True,0.34467882,0.5015047,0.076908246,0.076908246
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.25800648,0.54619974,0.07392009,0.12187364
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,True,0.080825105,0.6767403,0.0713279,0.17110674
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,True,0.24961132,0.5284272,0.10405348,0.117908046
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.09719268,0.29937452,0.33923578,0.26419708
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,False,0.051526655,0.4888713,0.335996,0.123606026
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.44622672,0.5056411,0.019605832,0.02852632
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,False,0.28287002,0.3632123,0.13361834,0.2202994
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.40054896,0.51431507,0.01553097,0.06960498
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.24826825,0.46382612,0.11727361,0.1706321
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.95128477,0.041796535,0.001262146,0.005656546
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.053595047,0.7398568,0.12856783,0.07798033
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.7838582,0.19819039,0.012669887,0.005281595
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.35980427,0.40771165,0.06252461,0.1699595
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,True,0.16255826,0.56738406,0.14345716,0.1266005
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.24575315,0.52025944,0.13154219,0.10244516
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.30171722,0.43899596,0.18300074,0.07628606
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.06524546,0.48210236,0.42545384,0.027198354
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.004303052,0.0594018,0.92920053,0.0070945336
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.56133235,0.26515463,0.07596807,0.09754494
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.8928594,0.09410668,0.005309136,0.0077247475
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.58182293,0.27483368,0.08922544,0.054117966
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.20739436,0.63881963,0.06733109,0.08645484
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.3629864,0.59846336,0.02047829,0.018072028
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.21469782,0.66131586,0.06970218,0.05428411
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.017329479,0.6502839,0.30717236,0.025214242
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.015628124,0.10190816,0.8532666,0.029197177
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.10278079,0.3587402,0.4065059,0.13197315
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.3351604,0.5525861,0.08474182,0.02751164
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.1476251,0.7497021,0.032939613,0.06973316
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.2859523,0.36717004,0.17343885,0.17343885
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.09945271,0.64851314,0.013459461,0.23857465
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.3034683,0.44154376,0.111639746,0.14334826
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,True,0.14949937,0.31649017,0.31649017,0.21752031
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.28084436,0.67371064,0.02960078,0.015844157
