0,1,2,3,4,5,alpacacode_llama2_7B_correct,alpacacode_llama2_7B_choiceA_probs,alpacacode_llama2_7B_choiceB_probs,alpacacode_llama2_7B_choiceC_probs,alpacacode_llama2_7B_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.005690072,0.017526656,0.956923,0.019860303
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.18191467,0.18191467,0.49449533,0.1416753
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.18468855,0.4430448,0.20927955,0.16298708
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.40252653,0.2766522,0.13068123,0.19014007
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.006664305,0.98907053,0.0027780954,0.0014870074
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.0040181684,0.009639085,0.9832134,0.003129353
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.0009083225,0.0014975705,0.99609655,0.0014975705
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.21891177,0.21891177,0.28108826,0.28108826
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.79264235,0.15608053,0.034826275,0.016450766
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.37491965,0.33086544,0.13792524,0.15628976
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.10486066,0.118822694,0.092539206,0.6837774
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,True,0.06837043,0.3934447,0.3934447,0.14474021
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.25503168,0.19861887,0.3710689,0.17528053
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,True,0.20965199,0.3456577,0.099032596,0.3456577
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.65705407,0.18824914,0.053934284,0.10076251
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.083265565,0.89518917,0.012769187,0.0087761255
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.55726045,0.14089751,0.09683735,0.20500466
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.22451505,0.53858364,0.1543068,0.08259448
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.37238014,0.22585997,0.22585997,0.17589992
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.95303196,0.019779546,0.013594271,0.013594271
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.2900896,0.3287146,0.15527378,0.22592203
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.9471227,0.010521582,0.03672393,0.0056317975
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.17089841,0.19365326,0.17089841,0.46455002
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.2953348,0.2953348,0.33465815,0.07467233
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.3017445,0.23499885,0.3017445,0.1615122
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.12664779,0.34426436,0.4420442,0.087043665
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.003998964,0.013957756,0.97851425,0.0035290734
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.0016853631,0.0031486729,0.98928356,0.005882495
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.32179603,0.36464268,0.19517916,0.11838214
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.8425397,0.037018612,0.019814637,0.10062702
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,True,0.031921674,0.05963754,0.26727688,0.64116395
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.16237055,0.5667289,0.086910695,0.18398993
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.5045405,0.23832805,0.14455327,0.112578206
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.17042328,0.31839263,0.3607861,0.15039802
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.0010271046,0.0021743805,0.9940065,0.0027919598
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.0011667598,0.001322112,0.9964814,0.0010296619
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.053934332,0.10076259,0.74454045,0.10076259
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.015219429,0.041370694,0.83095264,0.11245721
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.044342697,0.89064693,0.03453413,0.03047626
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.23902765,0.5733975,0.08793336,0.09964155
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.26503736,0.16075328,0.23389466,0.34031472
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.9454569,0.028550325,0.0063704387,0.019622331
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.14493914,0.07758033,0.12790833,0.64957213
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.13811803,0.25803843,0.5462674,0.057576157
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.31712013,0.21795328,0.24697341,0.21795328
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.029346414,0.8576279,0.033253845,0.079771824
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.36617643,0.19600013,0.15264504,0.28517848
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.90498227,0.051055606,0.008872134,0.03508997
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.46382612,0.24826825,0.11727361,0.1706321
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.0488033,0.04306876,0.8650592,0.04306876
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.013775159,0.9657132,0.008355056,0.012156535
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.84996223,0.10151351,0.015567602,0.03295661
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.2963333,0.20366672,0.20366672,0.2963333
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.22074172,0.67993236,0.081206344,0.018119583
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,True,0.22446734,0.32659805,0.22446734,0.22446734
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.88727224,0.07283174,0.023645004,0.016250959
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.23900674,0.3940555,0.23900674,0.12793109
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.018951587,0.805842,0.10905885,0.066147536
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.0066705984,0.9900046,0.0021656263,0.0011591761
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.65272045,0.24012244,0.053578556,0.053578556
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.25388646,0.47432235,0.13589562,0.13589562
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.32389003,0.19644924,0.41588303,0.06377773
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.24363722,0.27607712,0.16744925,0.31283638
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.073575675,0.121305786,0.10705198,0.6980666
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.14591102,0.2725977,0.30889365,0.2725977
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.9104957,0.03530375,0.03530375,0.018896734
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.5014155,0.16278577,0.20902108,0.1267777
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.13136737,0.31513393,0.40464,0.14885874
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.89852,0.050691027,0.0113106975,0.039478213
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.25684616,0.69818026,0.023890413,0.021083217
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.95451605,0.02543699,0.0064314785,0.01361544
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,True,0.10439975,0.3643909,0.412909,0.118300416
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.023233876,0.87184477,0.05573517,0.049186114
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.025299385,0.94935244,0.019703181,0.0056450563
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.10294729,0.10294729,0.7606833,0.033422094
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,False,0.374448,0.09467528,0.3304492,0.20042758
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.08791452,0.21089597,0.5732747,0.12791488
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.14591102,0.2725977,0.30889365,0.2725977
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.021702982,0.9228343,0.014916226,0.04054651
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.14046311,0.38181832,0.29736042,0.1803582
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.1830115,0.12578185,0.6387729,0.052433673
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.05892371,0.8134167,0.05199999,0.07565954
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.496465,0.38664734,0.076135375,0.04075233
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.12765685,0.73461443,0.060300823,0.07742779
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.19028199,0.27685866,0.51724005,0.015619297
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.00351577,0.97482556,0.010829333,0.010829333
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.002172126,0.0031604245,0.99297583,0.0016916533
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.0005405238,0.0018866134,0.020283004,0.9772899
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.27607712,0.24363722,0.16744925,0.31283638
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,True,0.13348038,0.2493742,0.46589231,0.15125309
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,False,0.36471498,0.32185984,0.09221439,0.22121082
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.0013038156,0.007502941,0.008501946,0.98269135
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,True,0.21170618,0.5078567,0.21170618,0.068730935
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.27828377,0.13145195,0.13145195,0.4588124
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,False,0.31839263,0.17042328,0.15039802,0.3607861
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,False,0.59421545,0.19291352,0.1502412,0.06262985
