0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_alpaca_52000_correct,llama_7B_llamatokenizer_alpacacode_alpaca_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_alpaca_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_alpaca_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_alpaca_52000_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.2617548,0.48902234,0.14010724,0.10911564
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.8172223,0.14201194,0.009078519,0.031687148
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.8907747,0.093886964,0.004125105,0.011213199
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.82579255,0.111758865,0.059820212,0.0026283169
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.27774546,0.5188968,0.054691322,0.14866643
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.9986425,0.00070921035,9.598118e-05,0.00055233354
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.5172609,0.19028966,0.04811276,0.24433675
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.735812,0.18604241,0.041511673,0.03663392
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,True,0.064804725,0.25630766,0.42257988,0.25630766
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.17432646,0.41818747,0.15384258,0.2536435
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.3890722,0.3890722,0.16218942,0.059666157
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.49402303,0.29964012,0.024595957,0.18174092
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.08780754,0.09949898,0.07748988,0.73520356
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,True,0.7439039,0.24151023,0.0072929766,0.0072929766
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.43820912,0.3412776,0.059305154,0.16120812
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.07117209,0.3189712,0.3614417,0.24841501
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,True,0.43693116,0.43693116,0.059132203,0.06700557
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.9002023,0.08373186,0.0060655153,0.010000343
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.9259437,0.052238166,0.0048589064,0.01695925
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.75745046,0.13162516,0.008414514,0.102509774
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,True,0.3626063,0.24921542,0.19408917,0.19408917
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,True,0.62484866,0.15798648,0.108582415,0.108582415
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.6814524,0.2212352,0.033927515,0.06338495
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,False,0.44403407,0.34581408,0.046800844,0.16335101
Which of the following is true as of 2020?,males are more likely to have depression and are more likely to have an alcohol use disorder than females.,females are more likely to have depression and are more likely to have an alcohol use disorder than males.,males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,False,0.8879545,0.10605104,0.0046595572,0.0013349855
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D,False,0.61188936,0.25507343,0.082810216,0.050226938
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D,False,0.27392355,0.39855638,0.11418832,0.21333186
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C,False,0.2546241,0.3704759,0.2546241,0.12027591
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,30%,50%,70%,D,False,0.16758789,0.66282296,0.05440782,0.115181364
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,41%,56%,71%,C,False,0.4424194,0.30407012,0.12675528,0.12675528
"In 2018, about how many chickens were killed for meat production?",690 million,6.9 billion,69 billion,690 billion,C,False,0.9939585,0.005910293,6.565743e-05,6.565743e-05
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A,False,0.0645459,0.22528733,0.42089212,0.28927466
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B,False,0.7154894,0.2322854,0.0244827,0.027742533
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C,False,0.12798232,0.44670215,0.18621315,0.23910244
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,False,0.08091662,0.465643,0.13340895,0.32003143
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D,False,0.9030707,0.057731375,0.0041820467,0.03501585
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,False,0.96129256,0.013712102,0.01995099,0.0050444
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B,False,0.50122523,0.30400848,0.162724,0.032042257
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D,False,0.15856855,0.43103397,0.17968169,0.23071587
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",36%,51%,66%,81%,C,False,0.33841926,0.38347927,0.09695874,0.18114278
"As of 2015, what percentage of the global population over 15 years old was literate?",81%,86%,91%,96%,B,False,0.7932518,0.12164911,0.011315129,0.07378392
About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,26%,46%,66%,86%,A,True,0.48367804,0.37668884,0.074174434,0.06545871
"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,False,0.90220994,0.05767635,0.012869333,0.02724438
"As of 2019, unsafe water is responsible for about how many deaths each year?",1.2 million,2.4 million,3.6 million,4.8 million,A,True,0.96938443,0.02583322,0.0012861603,0.0034961463
Which of the following causes more deaths globally each year (as of 2017)?,Diarrheal diseases,Diabetes,Dementia,Road injuries,C,False,0.99734026,0.00080259267,0.00015803985,0.0016990886
About how many people are infected by HIV/AIDS as of 2020?,3 million,14 million,42 million,124 million,C,False,0.52271616,0.35925722,0.037865434,0.080161124
What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,26%,46%,66%,86%,A,True,0.50157726,0.44264036,0.036334135,0.01944826
"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",25%,45%,65%,85%,B,False,0.3118034,0.3118034,0.27516553,0.101227745
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,6%,16%,36%,66%,C,False,0.10326295,0.3180723,0.17025183,0.4084129
"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",43%,58%,73%,88%,B,False,0.7068017,0.17870747,0.018835627,0.09565521
"As of 2017, the share of GDP spent on the military by China is about",0.50%,2%,6%,12%,B,True,0.0544968,0.5858958,0.11536972,0.24423769
"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",strongly supported by most studies,"supported mainly by cross-section, not time-series studies","supported mainly by time-series, not cross-section studies",generally repudiated by empirical studies,B,False,0.68138313,0.081379615,0.22121271,0.016024595
"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",12 years,9 years,6 years,3 years,B,False,0.9654525,0.022705266,0.004470932,0.007371321
"As of 2017, the share of deaths in Greenland by suicide is about",0.90%,1.80%,3.60%,7.20%,D,False,0.60324156,0.25146848,0.026504586,0.11878531
"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",14%,24%,34%,44%,A,False,0.31265104,0.24349289,0.08957603,0.35428005
"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",60%,75%,90%,45%,B,False,0.6334416,0.26405776,0.03573633,0.06676426
"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",50%,60%,70%,80%,D,False,0.7076802,0.1579048,0.011438586,0.122976385
In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,2%,25%,50%,75%,D,False,0.052841548,0.50134665,0.20899238,0.23681939
"In Sub-Saharan Africa, as of 2020,",no nation has been able to grow in the past years.,the Democratic Republic of Congo has become poorer than it initially was in 1980.,some countries have had relatively significant growth rates.,"some countries have had relatively significant growth rates, but the Democratic Republic of Congo has become poorer than it initially was in 1980.",C,False,0.16404569,0.18588813,0.14476982,0.5052963
"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",15.50%,34.80%,48.10%,65.20%,B,True,0.3993875,0.45256534,0.06940315,0.07864407
How many children between the ages of 5-14 worked globally as of 2012?,5 million,30 million,150 million,500 million,C,False,0.60302436,0.25137794,0.011044777,0.13455293
"Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","Colombia, Peru, Uruguay, and Costa Rica.","Bhutan, Niger, Cambodia, and Costa Rica.","Uruguay, Costa Rica, Timor-Leste, and Pakistan.","Bhutan, Cambodia, Uruguay and Costa Rica.",A,False,0.28599867,0.6054592,0.026602022,0.081939995
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B,False,0.3076567,0.2715061,0.11318058,0.3076567
The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,38%,58%,78%,98%,C,False,0.768471,0.17146906,0.02629563,0.03376426
"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?","True, True","True, False","False, True","False, False",B,False,0.8712149,0.10405178,0.006651808,0.018081488
"In 2017, about how many people died from terrorism globally?",260,"2,600","26,000","260,000",C,False,0.70129824,0.09491039,0.0028660456,0.20092532
In 1935 roughly how many Americans were in favor of Social Security act?,90%,70%,50%,30%,A,True,0.9337637,0.05267934,0.001802588,0.01175435
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,False,0.9886031,0.005187713,0.0010215213,0.005187713
"As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?",59%,69%,79%,89%,C,False,0.82141846,0.1259686,0.011716905,0.040896017
"What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",9%,19%,39%,59%,B,True,0.1686314,0.40452573,0.1488167,0.2780262
The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,18%,38%,58%,78%,B,True,0.31680247,0.35898423,0.19215041,0.13206293
"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,A,True,0.5421904,0.2902136,0.09421856,0.07337749
"As of 2015, the global fertility rate was about",1.5 children per woman,2.5 children per woman,3.5 children per woman,4.5 children per woman,B,False,0.9932025,0.006692146,6.5607484e-05,3.9792954e-05
What is the median international income as of 2020?,$300 ,"$1,000 ","$10,000 ","$30,000 ",C,False,0.14639232,0.27349687,0.12919077,0.45092008
Before being reelected for a third term as president how many Americans approved of running a third time?,20%,40%,60%,80%,C,True,0.12398545,0.23163532,0.38190207,0.26247722
"As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?",41%,56%,71%,86%,B,False,0.5733027,0.34772566,0.010500405,0.068471245
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C,False,0.45162386,0.27392372,0.032715525,0.24173684
"As of 2013, which of the following countries had the highest per capita rate of homelessness?",US,Chile,Ireland,Spain,A,True,0.8437801,0.146627,0.003907477,0.0056853457
"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",was approximately zero,exceeded that of high income countries,exceeded that of Britain during the industrial revolution,was approximately 3.0% per year,C,False,0.033968475,0.056004547,0.033968475,0.8760585
"As of 2015, about what percentage of the world’s land area is forested?",15%,30%,45%,60%,B,False,0.49909315,0.34302136,0.09827727,0.059608176
The greatest population growth rate has taken place,"in Africa, which is the poorest region of the world with the lowest overall economic growth.","in Asia, which is the poorest region of the world with a steady overall economic growth.","in Asia, which is the poorest region of the world with the lowest overall economic growth.","in Africa, which is the poorest region of the world with a steady overall economic growth.",C,False,0.4905625,0.2625792,0.06639042,0.18046786
The global HIV/AIDS death rate is highest for which of these age groups?,Under 5,14-May,15-49,over 50,C,True,0.0031558808,0.0045917793,0.99154824,0.0007041722
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A,False,0.16292238,0.2091965,0.23705068,0.3908305
"As of 2017, what percentage of Indians live in urban areas?",19%,34%,49%,64%,B,False,0.11691033,0.24749917,0.31779522,0.31779522
"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?","True, True","True, False","False, True","False, False",A,True,0.9847728,0.01239646,0.0011530503,0.0016776784
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",80%,40%,-40%,-80%,B,False,0.7293597,0.1267437,0.017152896,0.1267437
"As of 2013, share of people in the United States who think political parties are corrupt is",36%,56%,76%,96%,C,False,0.7466987,0.12975678,0.0694538,0.05409067
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C,False,0.9905025,0.0075625796,0.00062077434,0.0013141793
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C,False,0.98609483,0.010954523,0.00079354306,0.0021570737
In 1943 how many Americans believed in the Holocaust?,30%,50%,70%,90%,B,False,0.38789856,0.18323031,0.086551875,0.34231928
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,False,0.9370915,0.052867085,0.00085451687,0.009186922
"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.","India, Congo","India, South Korea","Congo, South Korea","South Korea, India",A,True,0.95996904,0.025582308,0.0050374554,0.009411205
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D,False,0.59777105,0.15114018,0.1177081,0.13338076
"As of 2019, about what percentage of French people say God plays an important role in their life?",11%,31%,51%,71%,B,False,0.13545366,0.22332531,0.5357296,0.105491415
"As of 2017, the share of GDP spent on the military by the United States is about",1%,3%,6%,10%,B,False,0.24349289,0.31265104,0.08957603,0.35428005
"As of 2017, the share of global deaths by suicide is about",0.70%,1.40%,2.80%,5.60%,B,False,0.4088841,0.28102168,0.09123438,0.2188599
Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,artificial political boundaries that covered diverse ethnic groups with little in common,inadequate access to higher education and training for nationals under the colonial administration,control of domestic commerce by foreign minority groups which had been brought in by the colonial power,all of the above,D,True,0.041824687,0.0038903018,0.0023595875,0.95192546
Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D,False,0.86644673,0.029648175,0.00042290855,0.103482306
"As of 2017, how many people in the world have some access to electricity?",60%,70%,80%,90%,C,False,0.5538809,0.2308919,0.03540842,0.1798188
Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,D,False,0.94533384,0.041535072,0.0038633633,0.009267727
