0,1,2,3,4,5,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptllama2chat_correct,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptllama2chat_choiceA_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptllama2chat_choiceB_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptllama2chat_choiceC_probs,alpacacode_llama2_chat_7B_sharegpt_qy_vic_52000_gpt35_Tptllama2chat_choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.009357882,0.028824305,0.0072879256,0.9545299
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,True,0.2419463,0.2419463,0.2419463,0.27416107
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.0024675678,0.0019217437,0.99548787,0.00012285296
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.019803252,0.0154227875,0.010599917,0.9541741
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,True,0.016845264,0.03566142,0.027773146,0.91972023
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,True,0.032955505,0.963101,0.0034734847,0.00047008504
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,True,0.0031352253,0.0051691122,0.0066372715,0.9850584
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.61303824,0.28957877,0.014417278,0.0829657
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,True,0.012409059,0.9857737,0.0016793836,0.0001378522
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.03887937,0.17424525,0.780913,0.0059623444
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.0066755083,0.0016878329,0.99073327,0.0009034318
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,True,0.01225276,0.97335726,0.013884195,0.0005057318
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,True,0.96186584,0.029045831,0.0073439362,0.0017443378
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,True,0.6321764,0.33837965,0.027775893,0.0016680721
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,True,0.5463491,0.13813868,0.13813868,0.17737359
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,True,0.00507148,0.00574674,0.966453,0.022728797
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.043091144,0.020354817,0.8655088,0.07104529
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.010129069,0.0061435904,0.43069896,0.5530284
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.16608444,0.7443388,0.047583986,0.04199272
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,True,0.009247114,0.015245914,0.032275602,0.94323134
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,True,0.012245539,0.008416227,0.0065545645,0.9727836
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,True,0.7721664,0.049362943,0.02642208,0.15204857
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.008674662,0.10567901,0.88483953,0.00080686924
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.9013119,0.09499757,0.0028686782,0.0008218901
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,True,0.006623265,0.0058450107,0.004552099,0.98297966
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,True,0.0024623503,0.0016923469,0.0024623503,0.99338293
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.9810892,0.013994485,0.004543344,0.0003729404
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,True,0.8649091,0.13263811,0.0021438955,0.00030885742
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.06100024,0.04192481,0.65581435,0.24126062
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.31267592,0.51551545,0.14769766,0.02411098
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.010870565,0.0039990577,0.006593331,0.9785371
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,False,0.02094018,0.044330362,0.89039916,0.044330362
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,False,0.003491306,0.008375208,0.9680424,0.020091077
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,True,0.015372367,0.95105463,0.025344748,0.008228235
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,True,0.002703487,0.005723282,0.962508,0.029065223
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,True,0.08214724,0.6878104,0.22329935,0.006743056
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.92805046,0.019261071,0.052357025,0.00033140508
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.0010289532,0.9957956,0.0024683306,0.0007071885
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,True,0.025634129,0.012108705,0.9619136,0.00034349752
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.059435155,0.9297223,0.010328282,0.00051421486
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,True,0.0052075223,0.9923781,0.0021708184,0.00024355906
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.9860109,0.0066436892,0.0014824074,0.0058630356
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,True,0.0096162,0.0074891043,0.98087907,0.002015665
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.0035537956,0.985369,0.0075233853,0.0035537956
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.95886135,0.03717909,0.0039186473,4.0894753e-05
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,True,0.00745406,0.015780246,0.9762892,0.00047652214
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,False,0.19546257,0.17249513,0.029975155,0.6020671
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.7170893,0.2328048,0.045841984,0.004263969
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.020075897,0.9673109,0.010745853,0.0018673494
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.061525356,0.14759165,0.27573752,0.5151455
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.008446213,0.97624946,0.01392545,0.0013788063
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.99487984,0.0046072076,0.00042853708,8.438396e-05
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,True,0.03038443,0.023663417,0.69154644,0.25440574
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.008235904,0.02238751,0.95194113,0.017435411
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.21980932,0.7672099,0.012400793,0.00057999283
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,False,0.13198699,0.0485553,0.46067986,0.35877785
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.021910064,0.30245912,0.44007543,0.23555541
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,False,0.029492274,0.8618906,0.03786883,0.07074829
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.025440013,0.9546295,0.019812703,0.00011781063
What is the optimal span of control?,2,5,7,None of the above,D,True,0.035365965,0.08483854,0.07486975,0.8049257
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,True,0.0065858504,0.0051290654,0.010858232,0.9774269
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,False,0.20242529,0.05118113,0.039859902,0.7065337
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,True,0.019936927,0.017594276,0.11472909,0.8477397
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,True,0.028626205,0.94796973,0.022294112,0.0011099584
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.001910208,0.001910208,0.006667281,0.98951226
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,True,0.017554322,0.006457874,0.017554322,0.9584335
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,True,0.050695393,0.7930094,0.15615281,0.00014239294
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,True,0.0040629013,0.9941591,0.0016936691,8.4322826e-05
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,True,0.0019251542,0.99725455,0.0008025237,1.7730057e-05
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,True,0.01028534,0.035899363,0.027958455,0.9258568
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,True,0.009497867,0.009497867,0.012195502,0.96880877
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,False,0.05832541,0.027550971,0.10896621,0.8051574
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,True,0.27261126,0.65396047,0.053680345,0.019747896
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,True,0.99254143,0.0052083796,0.0021711756,7.908507e-05
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,False,0.59181947,0.4067512,0.0008897646,0.0005396695
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,True,0.018822378,0.17858174,0.8003478,0.0022480122
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,True,0.040375452,0.021611424,0.019072013,0.9189411
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.24610312,0.3580779,0.037741132,0.3580779
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,False,0.3058771,0.34660417,0.34660417,0.000914556
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,True,0.001320435,0.0031675592,0.99521744,0.00029462887
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,True,0.022697674,0.010721622,0.9651297,0.0014510137
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,True,0.0044984566,0.008404223,0.015701156,0.97139615
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,True,0.97674507,0.01788971,0.0051254877,0.00023972224
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,False,0.03593359,0.03593359,0.9267395,0.0013932965
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,True,0.01994835,0.04223066,0.18926467,0.7485563
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,False,0.02563163,0.012107525,0.9618198,0.00044101657
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,False,0.0074314345,0.0035103613,0.015732346,0.97332585
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,False,0.0096595,0.004026679,0.9852958,0.0010181038
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,True,0.0024718333,0.00029521834,0.99720865,2.4232999e-05
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,True,0.03188158,0.01706498,0.019337155,0.9317163
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.6126104,0.15489216,0.056981646,0.17551583
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,True,0.0057285847,0.008335042,0.40160483,0.5843316
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,True,0.15318227,0.77792376,0.038730543,0.030163378
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,True,0.02915069,0.02915069,0.08979045,0.8519081
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,True,0.010907495,0.0066157305,0.9818615,0.0006153588
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,False,0.02486819,0.017091641,0.02486819,0.933172
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,False,0.6535026,0.12868229,0.21216123,0.005653905
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,True,0.70611024,0.17853263,0.03102432,0.084332846
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.99318826,0.004599374,0.0021725905,3.9792383e-05
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,False,0.9692705,0.029269435,0.0012860092,0.00017404242
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,True,0.0020773741,0.000981282,0.047280814,0.94966054
Which of the following is not part of Schein's model of the formation of culture?,Shared values,Pre-conceptions,Shared beliefs,Norms,B,False,0.023141842,0.36199933,0.018022886,0.596836
What is not one of the layers of cultural influence?,Social,Business,Organisational,Company,D,True,0.060150336,0.04134068,0.06815926,0.83034974
