0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_correct,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceD_probs
What is the structure of the United Nations Security Council?,"5 permanent members with veto power, 10 rotating members with no veto power","5 permanent members and 10 rotating members, all with veto power","10 permanent members with veto power, and 5 rotating members without veto power",15 permanent members with veto power,A,True,0.9860805,0.0027696972,0.0014825121,0.009667193
What was the significance of the Gulf of Tonkin resolution?,It allowed the US to intensify its involvement in Vietnam,It illustrated the influence of public opinion on US foreign policy,It enhanced Congressional control over the Vietnam War,It curtailed US involvement in Vietnam,A,True,0.7814605,0.03433498,0.009837137,0.17436741
Which is not a nonstate actor that poses a threat to the United States?,Terrorists,Organized crime,Drug traffickers,China,D,True,0.005036592,0.017579434,0.017579434,0.95980453
Who was the first American president to visit communist China?,Richard Nixon,George H. W. Bush,Jimmy Carter,Ronald Reagan,A,True,0.99824214,0.0005521121,0.0002955243,0.000910279
The Strategic Arms Reduction Treaty was the first accord,on nuclear weapons signed between the United States and the Soviet Union.,cutting conventional arms in Europe.,to be rejected by the U.S. Senate.,mandating the elimination of many long-range nuclear missiles.,D,True,0.42994872,0.007874785,0.010111425,0.5520651
What were the implications of the Cold War for American exceptionalism?,It ended the influence of American exceptionalism entirely,Exceptionalism was enhanced by America's status as the 'leader of the free world',The extension of American power globally challenged core assumptions of exceptionalism,Both b and c,D,False,0.056459125,0.049825,0.6069928,0.28672308
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,He believed that internal reform rather than international negotiation was the key to economic regeneration of the US,He believed that German domination of Europe would be in US interests,He always favoured isolationism,All of the above,A,False,0.16333899,0.028384062,0.5031195,0.30515742
What was the 'New Populism'?,A strand of neo-isolationist sentiment,A strand of internationalist sentiment,An expression of American cultural superiority,Increased incorporation of public opinion in foreign policy making,A,False,0.057309076,0.039387915,0.42345998,0.47984302
How did World War I shift economic power from Europe to the United States?,The war reduced European population levels below that of the United States,The United States seized German resources after the war,European countries paid the United States for assistance,"The United States became a creditor country and financial centre, with European war spending boosting the US economy",D,True,0.051636454,0.031319093,0.109314375,0.8077301
"In American government, the power to declare war rests with",the president of the United States.,the secretary of defense.,the chairman of the Joint Chiefs of Staff.,Congress.,D,False,0.74190277,0.0018389932,0.0153977005,0.24086057
How did the Cold War context shape US perceptions of the Third World?,The US ignored the Third World,Local developments were viewed through a geopolitical lens,The US unreservedly supported decolonization,None of the above,B,True,0.061766878,0.8526654,0.037463505,0.048104092
What was unique about the NATO intervention in Kosovo?,It was the first time the US became involved in the Balkans,It was the first time NATO used military force,It was the first war won by airpower alone,It was the first war to employ 'smart weapons',C,False,0.20500466,0.55726045,0.09683735,0.14089751
"What, according to Systemic theories, is the primary determinant of a state's foreign policy?",The character of a state's leader,The distribution of power in the international system,The distribution of power within a state's governmental system,A state's political ideology,B,True,0.0016980304,0.99671906,0.0002604014,0.0013224273
Why is there so much uncertainty over which states have nuclear weapons?,Leaders have incentives to lie,"If leaders revealed their programs, they would be more likely to be attacked",Leaders will not always grant foreign monitors access to their nuclear programs,ALL of the above,D,True,0.17437148,0.06414768,0.28748998,0.47399083
"Within American politics, the power to accord official recognition to other countries belongs to",the Senate.,the president.,the Secretary of State.,the chairman of the Joint Chiefs.,B,True,0.051825173,0.9186232,0.021603948,0.007947648
What did the Moscow Treaty on Strategic Offensive Reductions do?,Required the United States and Russia to demobilize their armies,Required the United States and Russia to dismantle a significant number of their nuclear weapons,Prohibited the acquisition of new military bases,Prohibited short-range nuclear weapons,B,True,0.08338574,0.89648116,0.0015272631,0.018605873
What were the 'open-door notes'?,An American declaration that the US was always open to Chinese immigration,"An American proclamation that China should be divided up between the US, Japan and the European empires",An American proclamation that China should be open to US trade and missionaries,An American declaration of support for Chinese economic protectionism,C,True,0.018835971,0.007852001,0.907568,0.065744005
"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market?",Irrationality on the part of the leadership,"Costs of free trade are concentrated, but benefits are dispersed",Regime type,International conflict prevents trade,B,False,0.040438205,0.383667,0.1411432,0.43475166
Why did George H.W. Bush allow Saddam Hussein to remain in power after the Gulf War of 1991?,Lack of US firepower,Concern over oil supplies,Limited UN mandate and fear of a protracted conflict,Difficult terrain and fear of civilian casualties,C,True,0.015809748,0.01791479,0.86318296,0.10309251
Why do Liberal Internationalists argue that international institutions are important to US grand strategy?,They allow the US to withdraw from the international arena,They serve American interests,The US is incapable of acting alone,None of the above,B,True,0.022920564,0.9746071,0.0010070592,0.0014652625
What was the significance of the Truman Doctrine?,It indicated the special place of Greece and Turkey in American interests,It was Truman's first statement on European affairs,It indicated US reluctance to get involved in incidents outside of its immediate sphere of influence,It indicated that the US would now view all local revolts through a geopolitical lens,D,True,0.34786707,0.06045023,0.14501256,0.44667014
What tend to be the effects of oil and other natural resource trade on developing states?,It democratizes countries,It has no real effect,It encourages stability of the regime,It changes the nature of the investor,C,True,0.040465664,0.03151469,0.4929727,0.43504688
The dominant course for foreign policy throughout most of American history can be categorized as,containment.,neoconservatism.,isolationism.,protectionism.,C,False,0.73461443,0.07742779,0.060300823,0.12765685
What led Britain to impose new taxes on their American colonies?,To increase the wealth of King George III,The growing costs of war with France,Anger at America's growing prosperity,Pressure from rich merchants,B,False,0.009238568,0.011862556,0.94235957,0.036539245
