0,1,2,3,4,5,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_correct,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceA_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceB_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceC_probs,llama_7B_llamatokenizer_alpacacode_sharegpt_xc_52000_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,True,0.1463923,0.12919076,0.45092005,0.27349684
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.17628802,0.12116087,0.37320176,0.3293494
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,True,0.24265438,0.11462182,0.40006945,0.24265438
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.046315394,0.14266147,0.7244947,0.086528555
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.26354307,0.20524755,0.23257595,0.29863343
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.9258568,0.027958455,0.035899363,0.01028534
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.14124873,0.06672117,0.4930065,0.29902357
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,True,0.113552466,0.06887305,0.50890684,0.3086676
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,True,0.037797038,0.14949018,0.40635642,0.40635642
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.06261119,0.1325479,0.5242371,0.28060392
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.076848894,0.08708122,0.5678408,0.268229
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.09956891,0.060391594,0.44623688,0.39380267
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.04333483,0.03824285,0.59821886,0.32020348
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.13088222,0.037498385,0.31397015,0.51764923
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.10156486,0.06980444,0.5157889,0.3128418
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.06261966,0.06261966,0.5941188,0.28064182
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.16070718,0.11045232,0.49501294,0.23382755
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,True,0.19969821,0.12112309,0.4227611,0.25641757
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.25562704,0.19908254,0.25562704,0.28966337
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.18680675,0.06872237,0.34900096,0.3954699
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.1536632,0.11967303,0.473316,0.2533478
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.17517631,0.09376512,0.47617856,0.25488
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.24621314,0.1493358,0.35823798,0.24621314
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,False,0.17698753,0.20055315,0.2918031,0.33065623
Which of the following is true as of 2020?,males are more likely to have depression and are more likely to have an alcohol use disorder than females.,females are more likely to have depression and are more likely to have an alcohol use disorder than males.,males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,False,0.6120843,0.10636431,0.19871469,0.082836606
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D,False,0.08788818,0.09959036,0.50576156,0.3067599
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D,False,0.089146554,0.14697783,0.45272356,0.31115207
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C,True,0.11345465,0.088358566,0.44872183,0.34946492
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,30%,50%,70%,D,False,0.11094208,0.12571384,0.49720788,0.2661362
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,41%,56%,71%,C,True,0.17025183,0.10326296,0.40841293,0.31807232
"In 2018, about how many chickens were killed for meat production?",690 million,6.9 billion,69 billion,690 billion,C,False,0.6028537,0.07200061,0.17272049,0.15242529
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A,False,0.038225487,0.071414605,0.52768654,0.3626733
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B,False,0.16147111,0.09793718,0.43892398,0.30166775
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C,False,0.30601364,0.18560666,0.2700561,0.23832366
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,False,0.032026645,0.076827936,0.50098103,0.39016443
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D,False,0.21316886,0.07842044,0.39825183,0.31015885
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,True,0.21525754,0.020022072,0.10168047,0.6630399
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B,False,0.15076989,0.103622526,0.5262386,0.21936889
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D,False,0.35125372,0.16592051,0.24141292,0.24141292
