0,1,2,3,4,5,llama_7B_ga_alpaca_20000/ckp10000_correct,llama_7B_ga_alpaca_20000/ckp10000_choiceA_probs,llama_7B_ga_alpaca_20000/ckp10000_choiceB_probs,llama_7B_ga_alpaca_20000/ckp10000_choiceC_probs,llama_7B_ga_alpaca_20000/ckp10000_choiceD_probs
Which of the following methods of detecting breast cancer involves exposure to radiation?,Needle aspiration,Mammography,Mastectomy,Lumpectomy,B,False,0.24302451,0.18926768,0.16702813,0.40067968
"The regions of the body that, when touched, are sexually exciting:",vary from person to person,vary for women depending on the phases of the menstrual cycle,are mainly on the lower portion of the body,all of the above,D,True,0.1316682,0.062195648,0.04843802,0.7576981
Which of the following is/are true of gonorrhea?,can be treated with antibiotics,has a high risk of infection with a single exposure,is asymptomatic (without symptoms) in only a small percentage of those infected,infections are limited to genital areas,A,False,0.29947364,0.20582502,0.05896985,0.43573156
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",the id,the ego,the superego,the Oedipus complex,A,True,0.50111747,0.14357257,0.08708116,0.26822886
Sociobiologists believe that there are more males than females with paraphilias because:,paraphilias guarantee survival of the species,evolutionary selection has favored the development of males who respond to novel sexual stimuli,of left brain/right brain differences between the genders,male brains are better developed than are female brains,B,False,0.124360986,0.035630018,0.124360986,0.71564806
"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse.",felt glad,felt fear,experienced guilt,experienced regret,C,False,0.5443943,0.1071976,0.22693731,0.121470794
What is cocaine abuse during pregnancy related to?,an increased risk of low birth weight babies,poorer growth and lower intelligence,smaller head circumference,all of the above,D,True,0.019622657,0.015282141,0.019622657,0.9454726
Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:,a secure lover,an avoidant lover,an anxious-ambivalent lover,a passionate lover,C,True,0.10833425,0.13910393,0.5501667,0.20239504
Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,Bruce likely participated in more female-typical play than Chuck.,Bruce likely participated in more male-typical play than Chuck.,Bruce and Chuck likely participated in more male-typical play than female-typical play.,Bruce's father was more likely to have homosexual tendencies than Chuck's father.,A,True,0.41774178,0.08225823,0.41774178,0.08225823
Judaism regards sexuality as,inherently evil,God's afterthought and has become an aberration,a gift from God,primarily a biological function,C,True,0.10886042,0.035341807,0.80437577,0.051422022
Freud said that the penis first becomes the major focus of pleasure-seeking at:,birth,about age 1,between the ages of 3 and 6,puberty,C,False,0.0633217,0.05588121,0.4129094,0.46788764
"What makes a relationships last, according to Sternberg?",intimacy,commitment,decision,passion,B,False,0.83498585,0.011910433,0.053378858,0.099724844
The position that abortion is murder is held by certain people in which religion?,Orthodox Jews,Fundamentalist Protestants,Eastern Orthodox Christians,all of the above,D,True,0.012016096,0.019811193,0.01361602,0.9545567
"Orders of monks and nuns found both in Eastern religions and in Christianity who affirm celibacy, virginity, and poverty follow the ethical system of:",legalism,asceticism,situationism,hedonism,B,False,0.007603312,0.0561813,0.25178713,0.68442833
Ovaries and testes,are homologous,produce gametes,produce sex hormones,all of the above,D,True,0.097409554,0.059081882,0.027908305,0.8156002
Simon LeVay studied the brains of heterosexuals and homosexuals. He found differences in:,the cortical activity of these two groups,the overall brain weights of these two groups,the cell structure in the hypothalamus of these two groups,blood volume and metabolism of sugars in the brains of these two groups,C,False,0.24578796,0.054842703,0.031248434,0.6681209
"Which of the following theories uses terms such as ""modelling"" and ""imitation"" to explain the effects of exposure to erotica on a person's behaviour?",sociobiology,psychoanalytic theory,script theory,social learning theory,D,True,0.16070718,0.11045232,0.23382755,0.49501294
