0,1,2,3,4,5,alpacacode_llama_7B_correct,alpacacode_llama_7B_choiceA_probs,alpacacode_llama_7B_choiceB_probs,alpacacode_llama_7B_choiceC_probs,alpacacode_llama_7B_choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,True,0.26112592,0.37993598,0.17946905,0.17946905
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.29660174,0.2617501,0.17989805,0.2617501
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,False,0.24302451,0.40067968,0.18926768,0.16702813
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,False,0.25562707,0.2896634,0.19908255,0.25562707
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.31122968,0.31122968,0.18877034,0.18877034
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,True,0.31375834,0.4028737,0.11542525,0.16794273
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.24591295,0.4054419,0.13162771,0.21701743
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.31779525,0.31779525,0.11691034,0.24749918
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,True,0.2777126,0.4578707,0.115767844,0.14864884
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,True,0.2550317,0.37106892,0.17528054,0.19861889
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,False,0.33958936,0.33958936,0.16041066,0.16041066
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,True,0.30866745,0.44910848,0.11355241,0.12867174
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.29038695,0.37286422,0.13716908,0.19957983
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,False,0.29548073,0.33482352,0.1395752,0.23012061
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,False,0.30369252,0.3441287,0.14345418,0.2087246
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,False,0.2866128,0.2866128,0.17383946,0.2529349
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.34239623,0.26665846,0.20767382,0.1832715
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.26665846,0.34239623,0.1832715,0.20767382
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.3182897,0.3182897,0.19305246,0.17036821
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,False,0.261829,0.33619508,0.14014696,0.261829
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.30359888,0.30359888,0.18414204,0.20866026
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.24846093,0.36150852,0.17076454,0.219266
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.26531863,0.3860363,0.14201483,0.20663035
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.33620113,0.33620113,0.123681486,0.2039163
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,False,0.24251826,0.35286197,0.12981066,0.27480918
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.23705068,0.3908305,0.16292238,0.2091965
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.4243955,0.33051956,0.107303984,0.13778104
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,True,0.3376788,0.29800048,0.15950817,0.20481254
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,True,0.24902599,0.2821834,0.24902599,0.21976466
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.23900674,0.3940555,0.12793109,0.23900674
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.28421366,0.32205626,0.1723843,0.22134583
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.24627472,0.27906582,0.116331935,0.3583276
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,False,0.19475931,0.36385828,0.2206912,0.2206912
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,True,0.2617501,0.29660174,0.17989805,0.2617501
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,False,0.27252734,0.34993201,0.16529618,0.2122445
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,True,0.3037987,0.39008525,0.16261172,0.14350435
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,False,0.26675123,0.38812074,0.1617928,0.18333524
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.25354847,0.36891085,0.15378492,0.22375575
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,False,0.3103132,0.3103132,0.21327494,0.16609868
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.2594834,0.33318326,0.17834015,0.22899328
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,True,0.16070718,0.49501294,0.11045232,0.23382755
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.3509605,0.2733283,0.18785562,0.18785562
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,False,0.2700561,0.30601364,0.23832366,0.18560666
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.18522377,0.44432873,0.18522377,0.18522377
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.3575235,0.3575235,0.11607089,0.16888215
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,False,0.27312723,0.2127117,0.27312723,0.24103393
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,True,0.27252734,0.34993201,0.16529618,0.2122445
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.23257597,0.29863346,0.20524758,0.2635431
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.27252734,0.34993201,0.16529618,0.2122445
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,True,0.2594834,0.33318326,0.17834015,0.22899328
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.16513178,0.44887468,0.14572828,0.24026531
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.3882259,0.30235064,0.12603849,0.18338493
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,False,0.30359888,0.30359888,0.18414204,0.20866026
